Date;Open;Low;High;Close;Volume
20140102;144.814;142.842;145.109;143.246;170246.0909212008
20140103;143.238;141.96200000000005;143.314;142.424;147227.73030612618
20140106;142.493;141.499;142.776;142.025;153936.12063744664
20140107;142.025;141.94299999999996;142.591;142.391;144292.49060942978
20140108;142.391;142.12;143.16899999999995;142.32299999999995;165573.71073706448
20140109;142.33;142.042;143.032;142.645;153510.19070579857
20140110;142.651;142.05700000000004;143.061;142.321;158418.86073793474
20140113;142.232;140.498;142.343;140.793;154733.6706256941
20140114;140.793;140.741;142.63;142.549;164795.730604209
20140115;142.55100000000004;141.799;142.608;142.239;144905.78063780814
20140116;142.244;141.708;142.909;142.113;145665.57067744437
20140117;142.114;140.97;142.161;141.19899999999996;126864.49058487266
20140120;141.076;140.32;141.379;141.167;99067.8104584962
20140121;141.167;141.031;141.855;141.417;140136.34068640321
20140122;141.417;141.055;141.829;141.59799999999996;135334.700586617
20140123;141.59;141.03;142.415;141.43;194343.63070036468
20140124;141.428;139.75799999999998;141.77200000000005;139.901;225934.18095197532
20140127;139.82299999999998;139.142;140.696;140.208;214169.81083167344
20140128;140.208;140.141;140.982;140.718;163058.20066562292
20140129;140.718;139.04399999999998;141.25;139.724;215939.04089852425
20140130;139.724;138.893;139.945;139.222;182186.05078365654
20140131;139.222;137.50799999999998;139.501;137.555;181763.34088166055
20140203;137.533;136.359;138.10299999999998;136.564;193621.15076224503
20140204;136.564;136.227;137.438;137.401;189427.23077180985
20140205;137.401;136.547;137.543;137.269;184998.16086415946
20140206;137.268;136.757;138.825;138.754;152839.1806255132
20140207;138.755;138.168;139.601;139.51;150116.99058791995
20140210;139.602;139.168;139.804;139.534;110714.65043275057
20140211;139.534;139.276;140.304;139.94799999999998;120636.43050015716
20140212;139.95;138.671;140.034;139.366;132121.14053089914
20140213;139.365;138.874;139.916;139.759;149557.23064295948
20140214;139.76;138.987;140.065;139.378;139546.63064800206
20140217;139.32299999999998;138.94799999999998;139.753;139.675;95251.00033721328
20140218;139.675;139.49200000000002;141.033;140.819;139542.95060383528
20140219;140.826;140.0;140.914;140.498;126643.04056575151
20140220;140.5;139.19899999999998;140.622;140.3;146275.02057988197
20140221;140.298;140.297;141.268;140.77;118113.38048482685
20140224;140.734;140.344;141.043;140.778;115945.76051812619
20140225;140.776;140.13;140.965;140.516;122726.91048868
20140226;140.514;139.65200000000002;140.785;140.102;132380.8805705011
20140227;140.102;138.791;140.222;139.996;145583.67059078813
20140228;139.996;139.118;141.115;140.45;158464.21065737307
20140303;139.618;139.15;140.072;139.322;153877.9306614548
20140304;139.32299999999998;139.27200000000002;140.528;140.468;144641.24060671777
20140305;140.469;140.189;140.78;140.475;134767.10066230595
20140306;140.475;140.463;142.916;142.85;151429.81070905927
20140307;142.851;142.536;143.791;143.322;142254.87071941048
20140309;142.945;142.941;143.07299999999995;143.058;1669.090006910265
20140310;143.055;142.851;143.614;143.339;118288.06080561875
20140311;143.339;142.62;143.441;142.735;125359.57083511351
20140312;142.739;142.236;142.965;142.861;132992.28088199347
20140313;142.858;140.713;143.379;141.306;172767.73093319684
20140314;141.308;140.446;141.50799999999995;140.985;164862.6609158367
20140316;140.845;140.789;141.076;141.072;1125.6400001645088
20140317;141.078;140.832;141.97899999999996;141.72299999999996;126507.58082786202
20140318;141.72299999999996;140.74;141.961;141.321;136511.33086544275
20140319;141.32;141.064;141.923;141.468;135494.45077419278
20140320;141.472;140.821;141.73;141.089;144748.79088701308
20140321;141.093;140.44;141.295;141.046;103148.17063974588
20140323;140.93;140.92700000000005;141.179;141.102;1283.9200003147125
20140324;141.119;140.725;141.887;141.458;135192.47080826014
20140325;141.467;140.697;141.595;141.4;151419.99085968733
20140326;141.399;140.5;141.502;140.71;141576.57073957473
20140327;140.709;140.18;141.037;140.468;153049.44091150165
20140328;140.468;139.96200000000002;141.64700000000005;141.387;138845.76080379635
20140331;141.66;141.32;142.602;142.119;148473.70082604885
20140401;142.119;142.006;143.065;142.959;127783.9106733352
20140402;142.959;142.72299999999996;143.474;143.016;128617.33075857162
20140403;143.016;142.304;143.435;142.584;126894.93071585895
20140404;142.584;141.38;142.618;141.525;123109.31059416385
20140407;141.436;141.12;141.894;141.662;131799.4007204175
20140408;141.658;140.08100000000002;141.717;140.46;178071.73090364784
20140409;140.46;140.424;141.329;141.311;133131.6711507663
20140410;141.311;140.599;141.55200000000005;140.987;155999.8613763228
