Episode;Duration;Value;Epsilon
1;0:01:00.859376;5899.262368412356;1.0
2;0:00:59.392395;7232.23529785477;0.9994375
3;0:00:57.522689;6198.282564710575;0.998875
4;0:00:57.063496;6977.3578139290685;0.9983124999999999
5;0:00:59.123823;6853.589461887859;0.9977499999999999
6;0:01:03.781773;6369.90132208909;0.9971874999999999
7;0:01:01.186226;9510.254031447359;0.9966249999999999
8;0:01:05.806802;8733.727614318359;0.9960624999999999
9;0:01:03.371848;7229.328965456982;0.9954999999999998
10;0:01:01.459611;7050.848251740523;0.9949374999999998
11;0:01:03.010818;7624.442339522997;0.9943749999999998
12;0:01:01.087280;8171.1921300531985;0.9938124999999998
13;0:01:04.541146;6223.27192277872;0.9932499999999997
14;0:01:07.671991;7968.160300720637;0.9926874999999997
15;0:01:04.289065;7095.913783173214;0.9921249999999997
16;0:01:01.915575;7068.547942800948;0.9915624999999997
17;0:01:03.792186;7541.931744531016;0.9909999999999997
18;0:01:03.290915;7194.043511605344;0.9904374999999996
19;0:01:02.140550;6664.430830269147;0.9898749999999996
20;0:01:01.167433;7729.092317568826;0.9893124999999996
21;0:01:02.409128;6839.692736974593;0.9887499999999996
22;0:01:03.739615;6945.646904139391;0.9881874999999996
23;0:01:03.792729;7235.420505200332;0.9876249999999995
24;0:01:02.218905;7606.036513431144;0.9870624999999995
25;0:01:01.328254;5507.893894048289;0.9864999999999995
26;0:00:55.152030;7931.7305030299185;0.9859374999999995
27;0:00:55.587235;9237.76843182906;0.9853749999999994
28;0:00:55.679513;6185.1174600169925;0.9848124999999994
29;0:00:53.813733;7206.596152028262;0.9842499999999994
30;0:00:55.482208;7047.000047425647;0.9836874999999994
31;0:00:57.485320;6450.701948417687;0.9831249999999994
32;0:00:56.546125;7294.314584099054;0.9825624999999993
33;0:00:56.797920;6837.002060345072;0.9819999999999993
34;0:00:57.562989;9393.125879343375;0.9814374999999993
35;0:00:55.651703;6467.154304076054;0.9808749999999993
36;0:00:56.059551;7607.010700578986;0.9803124999999993
37;0:00:55.540396;5587.537222423379;0.9797499999999992
38;0:00:56.404826;6369.408919255898;0.9791874999999992
39;0:00:56.456919;7313.710486693212;0.9786249999999992
40;0:00:56.124606;6634.295201297088;0.9780624999999992
41;0:00:55.288467;5498.86733611944;0.9774999999999991
42;0:00:54.985333;5429.28690333153;0.9769374999999991
43;0:00:55.962125;8538.857792630492;0.9763749999999991
44;0:00:55.696495;7534.520161503078;0.9758124999999991
45;0:00:55.446061;5897.111860246817;0.9752499999999991
46;0:00:55.658404;7404.950853734133;0.974687499999999
47;0:00:55.611007;7094.413222962852;0.974124999999999
48;0:00:57.189528;8036.741399617831;0.973562499999999
49;0:00:55.317485;6605.841871834853;0.972999999999999
50;0:00:55.417709;6491.403779616449;0.972437499999999
51;0:00:54.912483;6175.705966968512;0.9718749999999989
52;0:00:58.492103;8241.675714851786;0.9713124999999989
53;0:01:00.345051;6698.779261808725;0.9707499999999989
54;0:01:01.251152;6931.498374006244;0.9701874999999989
55;0:01:01.168993;8170.117911626128;0.9696249999999988
56;0:01:00.196896;6032.1988424741385;0.9690624999999988
57;0:01:01.899182;8412.019192914806;0.9684999999999988
58;0:01:02.053471;5858.27990093962;0.9679374999999988
59;0:01:04.846859;6997.150416952611;0.9673749999999988
60;0:01:02.681061;6497.008098174906;0.9668124999999987
61;0:01:02.664293;7137.555933116433;0.9662499999999987
62;0:01:01.611900;6499.8077726541;0.9656874999999987
63;0:01:01.247665;8120.1912492740175;0.9651249999999987
64;0:01:00.381480;6744.8651879792205;0.9645624999999987
65;0:01:00.127237;6078.778048498009;0.9639999999999986
66;0:01:02.555891;7172.5788013544625;0.9634374999999986
67;0:01:00.177765;7972.294906429783;0.9628749999999986
68;0:01:02.597694;8855.907962052921;0.9623124999999986
69;0:01:00.484736;6569.941732727779;0.9617499999999986
70;0:00:59.834163;9589.468313316398;0.9611874999999985
71;0:01:01.737134;9648.087720855703;0.9606249999999985
72;0:01:01.156173;7493.6461980715585;0.9600624999999985
73;0:00:59.438284;6662.790937902346;0.9594999999999985
74;0:01:00.424825;7180.131146444885;0.9589374999999984
75;0:00:59.799408;7615.713652226039;0.9583749999999984
76;0:00:59.741989;6763.953488035542;0.9578124999999984
77;0:00:59.419061;5480.823114096731;0.9572499999999984
