Episode;Duration;Value;Epsilon
1;0:00:25.147934;7432.446976815988;1.0
2;0:00:23.597332;7089.316553785398;0.9993571428571428
3;0:00:26.505940;4917.93084129991;0.9987142857142857
4;0:00:28.002993;5530.872756503326;0.9980714285714285
5;0:00:30.414844;8863.789447235751;0.9974285714285713
6;0:00:26.401671;5507.799878013882;0.9967857142857142
7;0:00:28.130323;6020.46899937424;0.996142857142857
8;0:00:28.360980;6047.902022019032;0.9954999999999998
9;0:00:29.433456;8094.848739658643;0.9948571428571427
10;0:00:28.504497;6404.33309063602;0.9942142857142855
11;0:00:30.641780;7565.626836458529;0.9935714285714283
12;0:00:29.757408;7300.162872760576;0.9929285714285712
13;0:00:31.250275;9555.589823677088;0.992285714285714
14;0:00:29.359387;7595.227646766895;0.9916428571428568
15;0:00:28.296235;7133.221457129932;0.9909999999999997
16;0:00:30.209126;7536.310083112568;0.9903571428571425
17;0:00:31.052531;8883.212663905362;0.9897142857142853
18;0:00:29.198780;6962.414384713286;0.9890714285714282
19;0:00:28.263188;6272.080337629152;0.988428571428571
20;0:00:28.605343;6377.618026554238;0.9877857142857138
21;0:00:28.615663;5871.100660920064;0.9871428571428567
22;0:00:28.515557;6877.020883770556;0.9864999999999995
23;0:00:28.876192;6847.2779415559435;0.9858571428571423
24;0:00:28.683975;5905.875660785501;0.9852142857142852
25;0:00:29.770167;7044.916065046649;0.984571428571428
26;0:00:30.390106;6954.373867813572;0.9839285714285708
27;0:00:29.473335;7142.593973040058;0.9832857142857137
28;0:00:30.352336;6844.854691980735;0.9826428571428565
29;0:00:29.171890;6620.629116217963;0.9819999999999993
30;0:00:30.749012;7591.588913374756;0.9813571428571422
31;0:00:29.323472;6126.4138558526665;0.980714285714285
32;0:00:27.605684;5178.191959239817;0.9800714285714278
33;0:00:30.285933;8789.644871222466;0.9794285714285706
34;0:00:27.982360;6272.372363026503;0.9787857142857135
35;0:00:29.117316;6668.8151796809425;0.9781428571428563
36;0:00:28.496328;6304.743481940314;0.9774999999999991
37;0:00:29.291128;6948.091336187961;0.976857142857142
38;0:00:29.400319;7548.49306970085;0.9762142857142848
39;0:00:30.610073;7743.609501299482;0.9755714285714276
40;0:00:29.238893;7577.6325284615505;0.9749285714285705
41;0:00:28.015876;6002.606056155499;0.9742857142857133
42;0:00:28.615033;6950.429716750449;0.9736428571428561
43;0:00:31.169927;8383.231535805195;0.972999999999999
44;0:00:28.279813;5844.949515980143;0.9723571428571418
45;0:00:29.509510;7557.658425263964;0.9717142857142846
46;0:00:30.354941;6905.009898255322;0.9710714285714275
47;0:00:29.009170;6259.274087446195;0.9704285714285703
48;0:00:30.073188;8203.3045202174;0.9697857142857131
49;0:00:29.944119;8459.03431366352;0.969142857142856
