Index;Action;State;Reward;Value
1;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.34586271
  -0.3273878  -0.44096798 -0.42125888 -0.94741694 -0.63141219 -0.43865802
   0.63141219 -0.40819061 -0.38627003  0.14406033 -0.4732517   0.1068206
  -0.13796877 -0.39731098 -0.38405415 -0.93672129 -1.05772895 -1.01632634
  -1.0365247  -0.97237512 -0.41991263  0.04589016 -1.79033287 -0.04589016
  -0.98461369 -1.00543433 -0.21598858  0.69319356 -0.05149966 -0.15526016
  -1.01112725 -0.99821172 -0.07886234  0.20002641  0.23954959  0.21206509
   0.23622827 -0.59979139 -0.29581108 -0.79441197  0.29581108  0.27073043
   0.20088753 -1.04846699  0.50448424 -0.32678621 -0.62350109  0.2293934
   0.20096439 -0.60328171 -1.12250661 -1.08134108 -1.14230466 -1.08258507
  -0.27182408 -1.12618797 -0.33997149  1.12618797 -0.94311976 -1.03450588
  -1.21995027  0.48109616 -0.95362039 -0.92853651 -1.1029722  -1.02605039
   0.54455624 -0.68807091 -0.66328761 -0.73469664 -0.68419983 -0.72000039
  -1.07683238 -1.51735662  1.07683238 -0.62628684 -0.66333227 -0.62955295
   0.09153406 -0.44770902 -0.55267196 -0.69425758 -0.66124703 -0.34300105
   6.59700921]]";0.0;20000.0
2;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.41968806
  -0.34990835 -0.46239819 -0.36092947 -1.02944038  0.02789175 -0.48458706
  -0.02789175 -0.41017112 -0.40126925  0.04496454  0.40062593 -0.21972362
  -0.03317257 -0.39185271 -0.391421   -1.00468601 -0.97437659 -0.93304324
  -1.01541358 -0.99053492 -0.51961401 -0.22739683 -1.6200839   0.22739683
  -0.99097097 -1.01340875 -0.23139117 -0.13208695 -0.12757042 -0.13581145
  -0.98190514 -1.01001964 -0.25631081  0.23687145  0.26232726  0.19428074
   0.22448337 -0.86221566 -0.3159352  -0.81663522  0.3159352   0.25464526
   0.20520269 -0.73858841 -0.16598816  0.12291782 -0.71921701  0.22716483
   0.20130195 -0.58980721 -1.08948141 -1.07093716 -1.13156626 -1.1177466
  -0.51416675 -1.43057706 -0.77184961  1.43057706 -0.97496694 -1.08070116
  -1.41290761 -0.40065347 -1.20656829 -1.12945131 -1.10765869 -1.06955247
  -0.05255617 -0.68406707 -0.66975212 -0.73185539 -0.6985938  -0.72743923
  -1.21503456 -1.68534796  1.21503456 -0.64269972 -0.6826924  -0.68182855
  -0.19774391 -0.63672425 -0.76030771 -0.70027635 -0.67935812 -0.73973361
   6.59700921]]";0.0;20000.0
3;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.35596513
  -0.27788141 -0.35544196 -0.28386351 -0.73347862  0.87009937 -0.23685064
  -0.87009937 -0.40094192 -0.37802439  0.1520805   0.50912681  0.36338316
   0.21438636 -0.30633973 -0.38485234 -0.87479405 -0.98987522 -0.98646314
  -1.04439339 -1.03120531  0.00733544 -0.83944583 -1.50232794  0.83944583
  -1.00043074 -1.01959843 -0.20104137 -0.31185224 -0.09211023 -0.22518014
  -1.02318215 -1.01780299 -0.27374501  0.22448108  0.20554579  0.22609678
   0.17668817 -0.31313652 -0.83019293 -0.94602312  0.83019293  0.23973944
   0.20615071 -0.49806734 -0.66767172  0.01935447 -0.66996535  0.20286802
   0.20436175 -0.67123371 -1.11807794 -1.08527427 -1.15329573 -1.09788919
   0.27177444 -1.22487445 -1.07140306  1.22487445 -1.00645842 -1.10212542
  -1.28356091  0.25173399 -0.54046713 -1.11483866 -1.11306293 -1.09774465
  -0.7617437  -0.69843378 -0.65259179 -0.7180043  -0.67334536 -0.59383485
  -0.67375819 -1.56848179  0.67375819 -0.65498882 -0.68810947 -0.56057486
   0.41732074 -0.13521875 -0.54731671 -0.68151194 -0.68891217 -1.18098483
   6.59700921]]";0.0;20000.0
4;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-5.17616658e-01 -4.81854024e-01 -4.69592497e-01 -6.42121185e-01
  -4.84563170e-01 -2.85248212e-01 -2.05272045e-01 -1.82052080e-01
  -6.22015642e-02 -5.65757052e-01  1.79199566e+00  2.14706943e-01
  -1.79199566e+00 -3.62599165e-01 -2.99298112e-01  4.60333714e-01
   1.44721293e+00  1.20597143e+00  8.54918352e-01 -1.50194071e-01
  -3.26702679e-01 -1.81174413e-01 -1.03315796e+00 -9.94624509e-01
  -1.07548432e+00 -1.04463600e+00  8.85874850e-02 -1.04156433e+00
  -1.45297692e+00  1.04156433e+00 -1.00914819e+00 -1.02647162e+00
  -1.84032755e-01 -9.47187362e-02 -1.05906976e-01 -2.04063466e-01
  -1.04066493e+00 -1.02515605e+00 -2.39066800e-01  1.77202044e-01
   1.65196786e-01  1.34401314e-01  1.36233530e-01 -3.17927707e-01
  -1.31462791e+00 -1.16125433e+00  1.31462791e+00  2.19329934e-01
   1.95624352e-01 -3.48778765e-01 -5.67399942e-01 -3.35143635e-01
  -9.13466918e-01  1.45360137e-01  1.99472602e-01 -4.83460148e-01
  -1.09821221e+00 -1.05342812e+00 -1.13320860e+00 -1.09953343e+00
   2.83073313e-01 -1.16218462e+00 -1.38287789e+00  1.16218462e+00
  -1.03126797e+00 -1.10945277e+00 -1.05508683e+00 -3.29235347e-03
  -1.59937298e-01 -8.68649466e-01 -1.09630133e+00 -1.11073691e+00
  -1.30309827e+00 -6.73115400e-01 -6.40955675e-01 -6.51590091e-01
  -5.98779861e-01 -6.01125529e-01  1.17718580e+00 -1.22394413e+00
  -1.17718580e+00 -6.54354392e-01 -6.71151687e-01 -2.72579434e-01
   1.17795438e+00  6.69522416e-01  1.19214728e-01 -6.30686719e-01
  -6.80826160e-01 -7.62976776e-01  6.59700921e+00]]";0.0;20000.0
5;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.05600107
  -0.09791114 -0.11425469 -0.04565963 -0.64157871  1.45776874  0.57640571
  -1.45776874 -0.31938434 -0.23824108  0.59718396  0.11227144  0.93532285
   0.96245515 -0.08612432 -0.26949514  0.52615892 -1.04185231 -1.01910863
  -1.10062575 -1.04898678  0.07077594 -1.07126646 -1.39335532  1.07126646
  -1.01990226 -1.02472484 -0.06705557 -0.02221156  0.06722197 -0.26254115
  -1.05871573 -1.02919327 -0.19861945  0.16970261  0.19676012  0.27683929
   0.31436445 -0.16943186  1.10799251 -0.89179568 -1.10799251  0.21616859
   0.21860581  0.04865507  2.46974528  0.69529183 -0.15138646  0.26271319
   0.21445582 -0.28395073 -1.08606501 -1.06713085 -1.13661962 -1.09662438
   0.30210711 -1.13244993 -1.59972704  1.13244993 -1.05723352 -1.10440729
  -0.6479421   0.0506819   0.17553192 -0.91115519 -1.10103005 -1.10911288
  -1.30384419 -0.59927993 -0.61885881 -0.65336587 -0.64019203 -0.65111363
   0.24334791 -0.97639101 -0.24334791 -0.65847817 -0.66151872 -0.03029667
  -0.61351524  0.40677857 -0.12630088 -0.63768895 -0.6711465  -0.42699619
   6.59700921]]";0.0;20000.0
6;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.0437616
  -0.04491018 -0.1278921  -0.10637826 -0.93195817  1.05943331  0.52034983
  -1.05943331 -0.28411138 -0.17471035  0.81147379 -0.38858645  0.97512895
   0.78811518 -0.09320708 -0.20825742  0.46440417 -1.04922361 -0.99221319
  -1.05475704 -1.01285635 -0.09720807 -0.53409014 -1.25396508  0.53409014
  -1.02606919 -1.03285116 -0.08562085  0.30103325 -0.130788   -0.13055254
  -1.02242478 -1.03145867 -0.2216326   0.31463731  0.29079934  0.30832901
   0.25955494 -0.45005948  0.33812253 -0.65440616 -0.33812253  0.21333485
   0.22328056  0.16251959 -0.76046268  0.13363087 -0.13753255  0.28635773
   0.22586745  0.01973244 -1.09973061 -1.04886055 -1.06044016 -0.9999934
   0.01786034  0.09600227 -1.54713713 -0.09600227 -1.06739616 -1.08785103
  -0.29675341  1.15790068  0.48596851 -0.32252554 -1.03723463 -1.09594299
  -0.8454737  -0.64037814 -0.62214983 -0.68864472 -0.65895139 -0.76688429
  -0.07221928 -0.86004537  0.07221928 -0.66300141 -0.6564785   0.13799898
  -0.26455838  0.24146057 -0.14721542 -0.65676808 -0.66366498 -0.58920644
   6.59700921]]";0.0;20000.0
7;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.1043761
  -0.10606513 -0.17912978 -0.21244127 -0.79666652  0.23604609  0.61786419
  -0.23604609 -0.27656562 -0.14475117  0.98011535 -0.68460367  0.46489884
   0.1767461  -0.16617902 -0.16281328 -0.43423087 -1.01312316 -0.96939845
  -1.03402975 -1.00680308  0.07090486  0.14281567 -1.01296098 -0.14281567
  -1.03170318 -1.03611688 -0.06355495  0.0608353  -0.03337751 -0.11521424
  -1.00582561 -1.03625524 -0.2696876   0.26002187  0.24117657  0.23213367
   0.23492328 -0.3935154   0.0126512  -0.43189993 -0.0126512   0.21654533
   0.22537276  0.14562478 -0.34439223  0.054416    0.12906204  0.23618781
   0.22767502  0.06783493 -1.00052847 -0.97349556 -1.03908969 -1.02035674
   0.06841785 -0.04465399 -1.39021876  0.04465399 -1.08076004 -1.06832833
   0.134438   -0.22379445  0.56709018 -0.44167726 -1.0118178  -1.07674219
  -0.39381654 -0.65851317 -0.66810661 -0.70782315 -0.71145399 -0.71428892
  -1.34971968 -0.89895044  1.34971968 -0.67393941 -0.65904572  0.28559835
  -0.78878145 -0.03293207 -0.47957388 -0.69602781 -0.66281713 -0.62905187
   6.59700921]]";0.0;20000.0
8;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-5.17616658e-01 -4.81854024e-01 -4.69592497e-01 -6.42121185e-01
  -4.84563170e-01 -2.10062920e-01 -1.61589941e-01 -2.96606291e-01
  -2.50195802e-01 -9.86001499e-01 -3.35782594e-02  7.64231357e-01
   3.35782594e-02 -2.61414684e-01 -1.37958330e-01  9.17884618e-01
  -2.41030396e-01  1.12205925e-01  3.45092463e-01 -2.36551782e-01
  -1.48760011e-01 -6.87287324e-01 -1.00726392e+00 -9.60309647e-01
  -1.04093885e+00 -1.01493716e+00 -1.93537400e-01  1.63274044e-01
  -7.53988001e-01 -1.63274044e-01 -1.03316877e+00 -1.03285116e+00
  -1.91936583e-02 -5.23271695e-02  9.76621426e-02  4.46033258e-03
  -1.00771905e+00 -1.03315455e+00 -2.38623020e-01  2.34262951e-01
   2.80874788e-01  2.42412698e-01  2.85165336e-01 -5.15476901e-01
   6.76526505e-01 -2.02296192e-01 -6.76526505e-01  2.27913064e-01
   2.47111980e-01  3.02911912e-01  6.92670924e-01  6.58434514e-01
   4.89176866e-01  2.69616307e-01  2.41046668e-01 -2.04012592e-02
  -1.02140647e+00 -9.84660745e-01 -1.05563946e+00 -1.02060970e+00
  -4.18204962e-01  6.16330045e-01 -1.05312854e+00 -6.16330045e-01
  -1.08373261e+00 -1.05283693e+00  3.76071609e-01  1.32155725e-02
   4.57686584e-01 -5.56391383e-02 -1.02114856e+00 -1.05832803e+00
  -4.42488097e-01 -7.11151854e-01 -7.02544804e-01 -7.48192570e-01
  -7.30567300e-01 -8.34949728e-01 -1.07238847e+00 -8.36444686e-01
   1.07238847e+00 -6.82339706e-01 -6.70468665e-01  2.32950880e-01
  -2.71662794e-01 -3.52796719e-01 -3.49300140e-01 -7.27341175e-01
  -6.71962955e-01 -1.99237761e-01  6.59700921e+00]]";0.0;20000.0
9;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.24794698
  -0.20682519 -0.32076398 -0.30235155 -0.78872566 -0.43184085  0.6709344
   0.43184085 -0.24614492 -0.18641131  0.43930571 -0.33545418 -0.72593047
   0.34834511 -0.27716395 -0.17432807 -0.31261887 -1.01463522 -0.98943091
  -1.06799947 -1.02382789 -0.04506079 -0.05851842 -0.52276457  0.05851842
  -1.03452017 -1.02867408  0.03263236 -0.05839246  0.11600404  0.00772724
  -1.02949362 -1.03091447 -0.27228688  0.28594383  0.28624381  0.24290218
   0.28940655 -0.35242292  0.73126837  0.01990629 -0.73126837  0.23801954
   0.27780841  0.6138643   0.05559956  0.93505837  0.43314054  0.27298633
   0.26661396 -0.90406714 -1.02127994 -1.04670364 -1.08292763 -1.1100313
  -0.07976656 -0.91962941 -0.95458549  0.91962941 -1.08845824 -1.05494133
   0.41031956 -1.04150305 -0.01851973 -0.12198534 -1.08076413 -1.05521531
  -0.54542565 -0.73022896 -0.72899052 -0.78240595 -0.77646284 -0.66038003
  -1.49782987 -0.85796404  1.49782987 -0.69157415 -0.70593869 -0.2290626
  -0.69005185 -1.22002956 -0.39411949 -0.76286375 -0.69834061  0.01905123
   6.59700921]]";0.0;20000.0
10;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[[-0.51761666 -0.48185402 -0.4695925  -0.64212119 -0.48456317 -0.30700726
  -0.25613743 -0.37862555 -0.36462708 -1.04679821 -0.88177286  0.63187267
   0.88177286 -0.24780855 -0.2507666  -0.03423636 -0.40235387 -0.96788603
  -0.02617679 -0.33376106 -0.22419493 -0.22412674 -1.03334697 -1.02560063
  -1.06243381 -1.08908968 -0.41242686 -1.52671909 -0.76235606  1.52671909
  -1.03767977 -1.03672445 -0.01332746 -0.50917988 -0.12987647 -0.04456418
  -1.06174524 -1.03152195 -0.2631577   0.27991168  0.25484317  0.253997
   0.21551158 -0.60066442 -0.24644234  0.02728679  0.24644234  0.2396084
   0.25799794  0.29078842 -1.02676932 -0.61746191  0.05746156  0.24156898
   0.26237815 -0.734984   -1.11921674 -1.09770823 -1.14167299 -1.14835484
  -0.34978356 -1.43603979 -1.0014606   1.43603979 -1.09112593 -1.06531118
   0.30954323 -0.43900967 -0.24313138 -0.04511192 -1.1301623  -1.06105167
  -0.35241774 -0.77591981 -0.76930554 -0.81496193 -0.8157513  -0.81826853
  -1.48759085 -0.92158656  1.48759085 -0.70425096 -0.74098477 -0.62505348
  -0.58904519 -1.2086692  -0.57441298 -0.80027457 -0.73078669  0.14252287
   6.59700921]]";0.0;20000.0
