Episode;Duration;Value;Epsilon
1;0:00:58.503231;7093.88218744868;1.0
2;0:00:58.051547;7416.973449449418;0.999
3;0:00:57.357876;6945.607997615759;0.998
4;0:00:56.213312;6488.741415128775;0.997
5;0:00:56.915205;5739.864440586646;0.996
6;0:01:09.496697;6268.072566766546;0.995
7;0:01:10.822611;4729.65036974376;0.994
8;0:01:12.741827;5923.798258157819;0.993
9;0:01:21.895131;6264.439690220294;0.992
10;0:01:28.491220;5370.055737636396;0.991
11;0:01:24.499825;8467.594323661502;0.99
12;0:01:29.951587;7890.8134416463145;0.989
13;0:01:18.621141;7124.396023927873;0.988
14;0:01:19.962612;8137.199315475817;0.987
15;0:01:18.269361;7276.513675525182;0.986
16;0:01:15.515492;7192.57331107353;0.985
17;0:01:17.316774;7919.800602561587;0.984
18;0:01:25.278137;6866.380437234211;0.983
19;0:01:17.892495;6197.457006187682;0.982
20;0:01:19.893106;8446.000575086087;0.981
21;0:01:15.631993;6303.908230174567;0.98
22;0:01:14.743845;6419.376057447594;0.979
23;0:01:20.258665;7185.033627707053;0.978
24;0:01:13.510733;5814.714780588943;0.977
25;0:01:14.070359;6431.488637256689;0.976
26;0:01:14.057495;5072.945700970817;0.975
27;0:01:13.869735;6194.981007557522;0.974
28;0:01:16.214972;6719.50835810556;0.973
29;0:01:13.094399;4818.419574228631;0.972
30;0:01:18.054885;7512.131557478897;0.971
31;0:01:14.745791;6119.333247156213;0.97
32;0:01:21.711773;7846.530907012519;0.969
33;0:01:19.090729;6217.841767341675;0.968
34;0:01:15.743418;5176.58451196695;0.967
35;0:01:16.229364;5701.365903911859;0.966
36;0:01:18.140213;8447.46726320544;0.965
37;0:01:22.143050;5004.881746200295;0.964
38;0:01:21.465859;5786.909840330907;0.963
39;0:01:21.595305;6467.482042996744;0.962
40;0:01:19.956647;7165.324746854605;0.961
41;0:01:22.376455;6853.708820809225;0.96
42;0:01:22.096210;7048.3881303903045;0.959
43;0:01:27.596186;8392.680567345698;0.958
44;0:01:19.282397;6181.423406541284;0.957
45;0:01:20.453452;7291.117049958891;0.956
46;0:01:21.839895;6987.228493295026;0.955
47;0:01:20.211565;6987.228652630707;0.954
48;0:01:22.021626;8069.095641927401;0.953
49;0:01:24.006493;7164.2425221765425;0.952
50;0:01:14.879181;5553.7479648867065;0.951
51;0:01:24.700409;7377.839600890702;0.95
52;0:01:31.290887;6601.66298290636;0.949
53;0:01:22.310569;8149.14542044053;0.948
54;0:01:20.185272;5758.6738699943;0.947
55;0:01:15.625750;6218.442900958427;0.946
56;0:01:20.325625;6745.904840130901;0.945
57;0:01:15.767672;7098.425729476687;0.944
58;0:01:17.132511;7379.28365854812;0.943
