Episode;Duration;Value;Epsilon
1;0:01:24.132286;7670.89166900645;1.0
2;0:01:12.832811;7192.42906594796;0.999
3;0:01:13.748748;6530.63449918615;0.998
4;0:01:31.858339;6908.569590495546;0.997
5;0:01:26.674883;7627.726877623536;0.996
6;0:01:25.457192;7127.061754743528;0.995
7;0:01:22.855603;7955.037231965771;0.994
8;0:01:12.073014;6115.850818589481;0.993
9;0:01:11.995690;6301.787369047149;0.992
10;0:01:16.870542;8203.577211245567;0.991
11;0:01:19.339200;8852.150721064556;0.99
12;0:01:18.906913;6503.552140686422;0.989
13;0:01:13.898110;5899.409548139073;0.988
14;0:01:15.489489;6931.862758281948;0.987
15;0:01:13.624100;6830.440581846069;0.986
16;0:01:16.013977;7675.538208465878;0.985
17;0:01:16.659798;7011.387780260856;0.984
18;0:01:14.257683;7850.5150955489635;0.983
19;0:01:13.095514;6248.022985487869;0.982
20;0:01:13.673776;6628.570303186093;0.981
21;0:01:16.253735;7992.555349512698;0.98
22;0:01:14.146996;6706.445641844891;0.979
23;0:01:12.590135;6674.660914702649;0.978
24;0:01:15.195586;6676.866825501078;0.977
25;0:01:16.908263;7458.221275071689;0.976
26;0:01:14.843745;6241.95043907491;0.975
27;0:01:18.576661;7859.967912021514;0.974
28;0:01:16.245884;6731.909878271078;0.973
29;0:01:17.640136;7312.7399086327605;0.972
30;0:01:20.496419;9449.502909401801;0.971
31;0:01:11.610181;5341.444889493153;0.97
32;0:01:20.390834;6812.588069579771;0.969
33;0:01:19.876583;6770.447796434094;0.968
34;0:01:13.040730;6681.797603889804;0.967
35;0:01:12.257307;4747.008613078521;0.966
36;0:01:17.723172;7211.832578121259;0.965
37;0:01:14.733254;6598.150568610552;0.964
38;0:01:20.738353;7381.8827250834765;0.963
39;0:01:17.768709;6836.08823677616;0.962
40;0:01:21.355810;10253.466849151553;0.961
41;0:01:14.992006;6119.483828233951;0.96
42;0:01:13.416550;6047.7368951787;0.959
43;0:01:16.316353;7013.849363982556;0.958
44;0:01:20.949914;7435.1224820635925;0.957
45;0:01:16.777333;8515.81185255834;0.956
46;0:01:23.066238;9725.108573425692;0.955
47;0:01:12.845715;5915.066264637891;0.954
48;0:01:35.077764;9647.153389763667;0.953
49;0:01:22.337750;8363.399748541866;0.952
50;0:01:17.324820;6179.617869809061;0.951
51;0:01:12.682847;5949.68128297288;0.95
52;0:01:11.696607;5347.332872538268;0.949
53;0:01:15.854725;9216.503584697311;0.948
54;0:01:09.926804;5724.419158612813;0.947
55;0:01:08.863684;7711.183714136929;0.946
56;0:01:15.572117;7403.753971666281;0.945
57;0:01:14.340691;7712.582038437315;0.944
58;0:01:15.571484;7501.5549252480605;0.943
59;0:01:18.761916;8577.87002191374;0.942
60;0:01:17.287469;8546.21843206511;0.941
61;0:01:14.881209;7529.21254777289;0.94
62;0:01:16.633289;10267.183378063899;0.939
63;0:01:12.802930;7390.212687434096;0.938
64;0:01:11.168591;6147.631419976544;0.9369999999999999
65;0:01:16.602089;8397.388253105766;0.9359999999999999
66;0:01:11.685914;6751.951114563768;0.9349999999999999
67;0:01:14.774093;8165.280394589904;0.9339999999999999
68;0:01:13.425293;6974.5942753524005;0.9329999999999999
69;0:01:13.139239;7554.896617919574;0.9319999999999999
70;0:01:17.895353;8954.206187608524;0.9309999999999999
71;0:01:14.961774;7322.32380388296;0.9299999999999999
72;0:01:14.856191;8190.973580626112;0.9289999999999999
73;0:01:13.669681;6758.732661650114;0.9279999999999999
74;0:01:14.689125;8251.439981628217;0.9269999999999999
75;0:01:16.185491;6775.120203629704;0.9259999999999999
76;0:01:16.788713;8779.160549386985;0.9249999999999999
77;0:01:13.202473;7618.3825181897655;0.9239999999999999
78;0:01:15.400209;9272.734473509901;0.9229999999999999
79;0:01:22.318491;7622.504852520762;0.9219999999999999
80;0:01:53.535072;6810.910743846294;0.9209999999999999
81;0:02:58.217292;7123.814572985973;0.9199999999999999
82;0:01:47.591360;9505.28140380835;0.9189999999999999
83;0:01:44.702016;7583.511725153689;0.9179999999999999
84;0:01:41.940682;7546.443091714685;0.9169999999999999
85;0:01:35.268626;6282.602558537266;0.9159999999999999
86;0:01:38.035137;7707.396474929353;0.9149999999999999
87;0:01:37.415290;8117.126395664258;0.9139999999999999
