Episode;Duration;Value;Epsilon
1;0:00:21.768010;5869.82975894755;1.0
2;0:00:21.172325;7799.153612141416;0.9995
3;0:00:20.911536;6692.497262240754;0.9990000000000001
4;0:00:21.589803;6829.73069310686;0.9985000000000002
5;0:00:22.554949;6082.857148025807;0.9980000000000002
6;0:00:26.191238;7445.680768213946;0.9975000000000003
7;0:00:29.554972;7783.427634767188;0.9970000000000003
8;0:00:29.401214;7189.202782982226;0.9965000000000004
9;0:00:28.375819;8381.626479556484;0.9960000000000004
10;0:00:25.824790;5615.038496159428;0.9955000000000005
11;0:00:26.740674;6827.5630641781645;0.9950000000000006
12;0:00:29.046669;6336.669909891698;0.9945000000000006
13;0:00:28.193400;6813.680932319473;0.9940000000000007
14;0:00:27.637269;7811.1284403848695;0.9935000000000007
15;0:00:26.632051;7643.588068591464;0.9930000000000008
16;0:00:27.352621;7444.945843484433;0.9925000000000008
17;0:00:26.602291;6576.145617090932;0.9920000000000009
18;0:00:29.505763;7756.393530031306;0.9915000000000009
19;0:00:30.078148;5854.566109976196;0.991000000000001
20;0:00:32.115718;7858.958043275429;0.990500000000001
21;0:00:29.379812;5999.390610335797;0.9900000000000011
22;0:00:30.806811;7929.44342121385;0.9895000000000012
23;0:00:29.367232;6127.844477429857;0.9890000000000012
24;0:00:30.512614;6510.826687511489;0.9885000000000013
25;0:00:29.918813;7401.134636929168;0.9880000000000013
26;0:00:28.173394;6489.048547353421;0.9875000000000014
27;0:00:29.202403;5927.827694806815;0.9870000000000014
28;0:00:30.142465;6390.74329547372;0.9865000000000015
29;0:00:34.002527;9178.50281490053;0.9860000000000015
30;0:00:27.351056;6401.98784514905;0.9855000000000016
31;0:00:33.867670;7897.111772095989;0.9850000000000017
32;0:00:30.604765;7294.763892080177;0.9845000000000017
33;0:00:28.684218;6498.905503169254;0.9840000000000018
34;0:00:30.943592;5828.08608515078;0.9835000000000018
35;0:00:32.121744;7574.501093922753;0.9830000000000019
36;0:00:31.176946;7374.323308699683;0.9825000000000019
37;0:00:29.046496;4937.9997260209375;0.982000000000002
38;0:00:30.305462;6748.324889477902;0.981500000000002
39;0:00:30.086711;6478.633508382766;0.9810000000000021
