Episode;Duration;Value;Epsilon
1;0:00:23.926087;8137.311357581303;1.0
2;0:00:22.520961;6545.679574262383;0.9993571428571428
3;0:00:21.939995;6316.569658408245;0.9987142857142857
4;0:00:23.695956;8496.645543345148;0.9980714285714285
5;0:00:22.938729;8092.42245971857;0.9974285714285713
6;0:00:22.895570;7658.774930960799;0.9967857142857142
7;0:00:23.060647;9397.146258256575;0.996142857142857
8;0:00:21.835511;6563.324412084175;0.9954999999999998
9;0:00:22.708842;7169.5491176626965;0.9948571428571427
10;0:00:21.731691;6203.6948553979555;0.9942142857142855
11;0:00:23.064323;8238.081862468845;0.9935714285714283
12;0:00:21.275687;5981.082481450024;0.9929285714285712
13;0:00:22.415900;7097.08337384811;0.992285714285714
14;0:00:22.097311;6958.0128579933535;0.9916428571428568
15;0:00:23.557652;7358.2377234181595;0.9909999999999997
16;0:00:22.191307;8518.470489585798;0.9903571428571425
17;0:00:21.247616;6502.246135159757;0.9897142857142853
18;0:00:23.350204;8958.736398674842;0.9890714285714282
19;0:00:22.132040;6718.029048878784;0.988428571428571
20;0:00:21.841142;6407.709812995207;0.9877857142857138
21;0:00:21.951257;7354.681302578449;0.9871428571428567
22;0:00:22.183745;6691.672035271775;0.9864999999999995
23;0:00:22.414355;7070.461899829267;0.9858571428571423
24;0:00:23.113558;6835.603498493964;0.9852142857142852
25;0:00:21.207339;6679.620147020098;0.984571428571428
26;0:00:21.920266;6169.227761072732;0.9839285714285708
27;0:00:22.420425;6864.2629443242495;0.9832857142857137
28;0:00:23.972900;7429.752077450007;0.9826428571428565
29;0:00:23.065422;6632.861902272164;0.9819999999999993
30;0:00:24.051014;8064.01651813965;0.9813571428571422
31;0:00:21.956431;6844.2227031250695;0.980714285714285
32;0:00:22.355100;7576.764775818216;0.9800714285714278
33;0:00:23.041704;7899.430616756843;0.9794285714285706
34;0:00:22.242830;6696.226822274883;0.9787857142857135
35;0:00:20.439169;5696.029395588688;0.9781428571428563
36;0:00:21.416532;6434.92513727138;0.9774999999999991
37;0:00:22.465254;7721.723773105582;0.976857142857142
38;0:00:21.152003;5344.120838663997;0.9762142857142848
39;0:00:21.575388;6598.102454401242;0.9755714285714276
40;0:00:21.044279;6310.654899525117;0.9749285714285705
41;0:00:23.647614;9489.66886902862;0.9742857142857133
42;0:00:22.120154;7170.040960693811;0.9736428571428561
43;0:00:24.382144;7956.240759500593;0.972999999999999
44;0:00:22.847794;6390.159916024443;0.9723571428571418
45;0:00:22.234247;7144.485085880853;0.9717142857142846
46;0:00:22.089638;6547.267430013527;0.9710714285714275
47;0:00:21.624553;6728.894955665063;0.9704285714285703
48;0:00:22.588368;8119.719125077559;0.9697857142857131
49;0:00:21.417185;6732.2801360258545;0.969142857142856
50;0:00:23.139635;7430.31252048157;0.9684999999999988
51;0:00:21.219328;6156.875410987221;0.9678571428571416
52;0:00:23.907896;8795.874616133236;0.9672142857142845
53;0:00:22.231757;7116.133915159175;0.9665714285714273
54;0:00:22.139358;7386.99631265923;0.9659285714285701
55;0:00:22.792437;7336.783015344572;0.965285714285713
56;0:00:22.461378;8657.524101683852;0.9646428571428558
57;0:00:22.252522;8274.02221431841;0.9639999999999986
58;0:00:22.112050;6710.054672599237;0.9633571428571415
59;0:00:22.441269;6466.90539994454;0.9627142857142843
60;0:00:20.653302;5128.78482801544;0.9620714285714271
61;0:00:23.150573;7684.216730740486;0.96142857142857
62;0:00:20.690650;5447.934075840808;0.9607857142857128
63;0:00:24.450558;8619.904763188313;0.9601428571428556
64;0:00:22.123235;6865.2462274724785;0.9594999999999985
65;0:00:22.743137;7832.231519331838;0.9588571428571413
66;0:00:24.704084;8290.250610061417;0.9582142857142841
67;0:00:22.316823;6228.033608608639;0.957571428571427
68;0:00:21.830300;6972.417523892178;0.9569285714285698
69;0:00:21.143067;6125.801974032636;0.9562857142857126
70;0:00:21.877475;6538.61124820348;0.9556428571428555
71;0:00:22.563231;6871.761193135246;0.9549999999999983
72;0:00:22.059408;8056.64901601281;0.9543571428571411
73;0:00:21.629782;7107.513508400164;0.953714285714284
74;0:00:22.345729;6869.055548044517;0.9530714285714268
75;0:00:21.167849;6797.8986925613735;0.9524285714285696
76;0:00:23.585173;8012.46769356754;0.9517857142857125
77;0:00:22.467125;7881.0558239286465;0.9511428571428553
78;0:00:23.877518;8978.149589451856;0.9504999999999981
79;0:00:21.506485;6879.367300063518;0.949857142857141
80;0:00:23.006631;7031.2649821717705;0.9492142857142838
81;0:00:23.248248;7406.7039366533345;0.9485714285714266
82;0:00:21.627718;8017.3446434933285;0.9479285714285695
83;0:00:23.159049;7780.069663607249;0.9472857142857123
84;0:00:21.686012;6573.67980289553;0.9466428571428551
85;0:00:21.341198;7288.044168461622;0.945999999999998
86;0:00:22.121621;7327.441233400293;0.9453571428571408
87;0:00:23.882131;9271.055705990773;0.9447142857142836
88;0:00:21.930914;5940.261053808076;0.9440714285714265
89;0:00:21.299247;5359.510573308171;0.9434285714285693
90;0:00:22.292983;8288.714637877085;0.9427857142857121
91;0:00:21.957689;8353.62996610178;0.942142857142855
92;0:00:21.801668;6716.07979475706;0.9414999999999978
93;0:00:20.595290;6158.275193506405;0.9408571428571406
94;0:00:22.682119;7245.841603534649;0.9402142857142834
95;0:00:22.583239;7296.237219228765;0.9395714285714263
96;0:00:20.487903;5537.150491036504;0.9389285714285691
97;0:00:21.936594;6695.556872176883;0.938285714285712
98;0:00:21.282012;5792.546734933218;0.9376428571428548
99;0:00:23.286608;6631.735063881472;0.9369999999999976
100;0:00:22.064805;7715.447881155679;0.9363571428571404
101;0:00:22.821149;8527.400806361135;0.9357142857142833
102;0:00:22.164101;6893.940103445638;0.9350714285714261
103;0:00:22.794952;7722.4401247246315;0.9344285714285689
104;0:00:21.503302;6420.468433577279;0.9337857142857118
105;0:00:21.954899;5750.361956745095;0.9331428571428546
106;0:00:24.126769;8124.420406539838;0.9324999999999974
107;0:00:22.310506;6721.662664464092;0.9318571428571403
108;0:00:22.319772;7683.903028257366;0.9312142857142831
109;0:00:22.727153;7960.122196521851;0.9305714285714259
110;0:00:23.172625;9800.285235318193;0.9299285714285688
111;0:00:22.920668;8204.258962296415;0.9292857142857116
112;0:00:21.448055;5715.743806419892;0.9286428571428544
113;0:00:23.555797;8017.602898689875;0.9279999999999973
114;0:00:21.951801;5217.913248324142;0.9273571428571401
115;0:00:21.909286;8319.397378479356;0.9267142857142829
116;0:00:23.706428;7918.823000228371;0.9260714285714258
117;0:00:24.013150;8390.88530029477;0.9254285714285686
118;0:00:22.442294;7073.464391569009;0.9247857142857114
119;0:00:23.754872;6148.989154495257;0.9241428571428543
120;0:00:22.671335;6566.536140246506;0.9234999999999971
121;0:00:22.075619;7434.6225297599485;0.9228571428571399
122;0:00:21.315919;6163.456022497395;0.9222142857142828
123;0:00:23.429155;8166.197421736403;0.9215714285714256
124;0:00:22.159348;7055.701919821786;0.9209285714285684
125;0:00:22.011341;6882.284544141356;0.9202857142857113
126;0:00:22.630613;8248.044738194727;0.9196428571428541
127;0:00:21.379425;6086.919001947175;0.9189999999999969
128;0:00:22.362266;7103.114374283451;0.9183571428571398
129;0:00:23.220380;7196.445096581789;0.9177142857142826
130;0:00:22.832755;7253.998720101002;0.9170714285714254
131;0:00:22.029107;5904.959712790034;0.9164285714285683
132;0:00:22.586741;7406.325055869794;0.9157857142857111
133;0:00:22.597238;8034.985610949725;0.9151428571428539
134;0:00:20.372953;5935.6905132297115;0.9144999999999968
135;0:00:20.705513;6113.459071480836;0.9138571428571396
136;0:00:20.791957;6372.343070366036;0.9132142857142824
137;0:00:21.554588;6971.033486548576;0.9125714285714253
138;0:00:21.339884;7027.613004463346;0.9119285714285681
139;0:00:23.350534;8602.509280111868;0.9112857142857109
140;0:00:23.583685;8089.6219611010365;0.9106428571428538
141;0:00:21.251271;6794.91123871133;0.9099999999999966
142;0:00:23.338058;8557.030380230059;0.9093571428571394
143;0:00:22.484872;6738.243091832823;0.9087142857142823
144;0:00:21.572091;7181.392861242644;0.9080714285714251
145;0:00:21.191905;6676.899268123483;0.9074285714285679
146;0:00:22.093024;7158.9160813996605;0.9067857142857108
147;0:00:23.805093;8738.692664795764;0.9061428571428536
148;0:00:21.185306;6576.48273274488;0.9054999999999964
149;0:00:22.900034;7543.484256391517;0.9048571428571393
150;0:00:22.660265;7901.245693560383;0.9042142857142821
151;0:00:23.104477;11211.493870532317;0.9035714285714249
152;0:00:22.359449;7575.559515622373;0.9029285714285677
153;0:00:22.895144;7911.346684419212;0.9022857142857106
154;0:00:22.143327;6659.581071352384;0.9016428571428534
155;0:00:20.356737;6380.557401532;0.9009999999999962
156;0:00:22.545060;7919.105789467792;0.9003571428571391
157;0:00:23.649291;8037.205124323921;0.8997142857142819
158;0:00:23.618192;8154.753799126952;0.8990714285714247
159;0:00:22.109256;7669.765870950978;0.8984285714285676
160;0:00:21.756779;6030.588055825345;0.8977857142857104
161;0:00:21.168519;6096.49216295267;0.8971428571428532
162;0:00:22.221359;7562.325215947247;0.8964999999999961
163;0:00:21.305602;6045.160119115487;0.8958571428571389
164;0:00:21.100085;5825.264730000564;0.8952142857142817
165;0:00:23.073819;8012.550625520936;0.8945714285714246
166;0:00:25.015463;9092.479171807663;0.8939285714285674
167;0:00:21.920344;7202.511353747471;0.8932857142857102
168;0:00:21.479138;7697.673455489704;0.8926428571428531
169;0:00:22.460700;8759.117736359196;0.8919999999999959
170;0:00:19.785417;4906.697189270613;0.8913571428571387
171;0:00:22.464392;6762.143455165749;0.8907142857142816
172;0:00:23.761541;8105.50782413294;0.8900714285714244
173;0:00:22.403426;7195.673908098735;0.8894285714285672
174;0:00:21.939154;6696.709690563261;0.8887857142857101
175;0:00:22.995521;8188.871650316483;0.8881428571428529
176;0:00:21.071113;5782.719200864776;0.8874999999999957
177;0:00:21.479096;6272.649278135129;0.8868571428571386
178;0:00:22.817540;7215.192807491182;0.8862142857142814
179;0:00:21.137627;6262.276001291869;0.8855714285714242
180;0:00:22.805147;7600.039509004542;0.8849285714285671
181;0:00:23.462014;8045.717317514135;0.8842857142857099
182;0:00:22.544841;9808.907650141111;0.8836428571428527
