Episode;Duration;Value;Epsilon
1;0:01:18.049718;7671.724359789211;1.0
2;0:02:00.589778;7677.752256565503;0.999
3;0:01:02.770666;6524.166401025099;0.998
4;0:01:01.528133;8244.034340981712;0.997
5;0:00:59.173233;8093.443088209988;0.996
6;0:00:56.429118;7414.14467148792;0.995
7;0:00:57.082260;7779.738278249981;0.994
8;0:00:53.677005;6908.640077052552;0.993
9;0:00:52.882081;6124.344603767349;0.992
10;0:00:59.205485;7259.243793296175;0.991
11;0:00:58.533189;7684.291975638378;0.99
12;0:00:57.513639;7025.174175971495;0.989
13;0:00:50.041350;5787.423039379791;0.988
14;0:00:53.346800;7369.954321570732;0.987
15;0:00:48.759486;4944.895840865613;0.986
16;0:00:58.221917;8361.933123320432;0.985
17;0:00:53.466787;6300.006701173044;0.984
18;0:01:04.432706;9715.627537372304;0.983
19;0:00:56.972292;7228.005375740076;0.982
20;0:00:53.387151;5680.316289851041;0.981
21;0:00:52.460269;6298.314126001819;0.98
22;0:00:56.403264;8020.140380364999;0.979
23;0:00:55.536641;7163.250325621603;0.978
24;0:00:58.471109;7852.5031067013515;0.977
25;0:00:56.757675;8352.88884204861;0.976
26;0:00:55.429601;7567.079476286223;0.975
27;0:00:50.793524;5519.137444369535;0.974
28;0:01:02.891471;7845.795095469011;0.973
29;0:01:01.828441;9196.695641010157;0.972
30;0:00:57.081937;7984.842049620161;0.971
31;0:00:49.336108;5284.472609795764;0.97
32;0:00:51.169238;5935.8826724565415;0.969
33;0:00:52.959163;6410.032228958427;0.968
34;0:00:55.600523;6770.6705181857815;0.967
35;0:00:58.835250;6307.614156561402;0.966
36;0:00:57.707634;9081.388318542688;0.965
37;0:01:03.884680;8702.255451363953;0.964
38;0:00:56.972284;7465.740874907232;0.963
39;0:00:57.840471;7704.534685710919;0.962
40;0:00:56.620965;7128.489217321207;0.961
41;0:00:52.786599;6370.6821724743995;0.96
42;0:00:54.127535;7351.002613661791;0.959
43;0:00:56.334884;7268.659721537534;0.958
44;0:00:51.407271;6737.391636313779;0.957
45;0:00:56.355001;7350.689700033342;0.956
46;0:00:52.247067;6696.739703036214;0.955
47;0:00:54.864615;6817.448871821509;0.954
48;0:00:58.383236;7755.398886408888;0.953
49;0:00:56.890003;7507.109906246958;0.952
50;0:00:55.986214;6501.427040889958;0.951
51;0:00:53.414383;6668.98451117598;0.95
52;0:00:55.212617;5995.926890517516;0.949
53;0:00:53.389742;7647.0442106869505;0.948
54;0:00:54.442541;7324.976580619294;0.947
55;0:00:51.987233;6412.605000797571;0.946
56;0:00:53.353502;6516.699409105574;0.945
57;0:00:57.011258;6949.365153728199;0.944
58;0:00:50.853653;6262.71435316607;0.943
59;0:00:55.538735;7064.163347762404;0.942
60;0:00:56.775129;7786.832566135407;0.941
61;0:00:56.441906;8928.292766965269;0.94
62;0:00:54.695662;6441.054772181409;0.939
63;0:01:06.574442;10367.926483622286;0.938
64;0:00:50.518748;5931.172580010225;0.9369999999999999
65;0:00:53.290148;6524.188583051134;0.9359999999999999
66;0:00:59.770696;7927.167104675209;0.9349999999999999
67;0:00:52.644762;7041.060411306667;0.9339999999999999
68;0:00:56.705309;8001.488801393537;0.9329999999999999
69;0:00:51.231171;5310.658388003735;0.9319999999999999
70;0:00:54.884956;6350.604624426586;0.9309999999999999
71;0:00:58.055985;8698.183305711389;0.9299999999999999
72;0:00:57.350845;7964.372450683129;0.9289999999999999
73;0:00:57.731884;7635.025540803896;0.9279999999999999
74;0:00:53.119111;6913.000368785258;0.9269999999999999
75;0:01:01.173086;9201.01138742251;0.9259999999999999
76;0:00:53.889929;7784.7722601472115;0.9249999999999999
77;0:00:58.776952;8539.761788792022;0.9239999999999999
78;0:00:59.052793;7447.611412499147;0.9229999999999999
79;0:00:57.090621;8305.713690473129;0.9219999999999999
80;0:00:52.101612;6239.238231834458;0.9209999999999999
81;0:00:59.022114;8562.623187027146;0.9199999999999999
82;0:00:54.069219;7918.780832607889;0.9189999999999999
83;0:00:51.271015;8115.229452101012;0.9179999999999999
84;0:00:51.002631;7050.766820441193;0.9169999999999999
85;0:00:51.506517;6258.772341701015;0.9159999999999999
86;0:00:50.406480;7902.967131973123;0.9149999999999999
87;0:00:50.353650;5886.13865319648;0.9139999999999999
88;0:00:58.055576;9312.861113466754;0.9129999999999999
89;0:00:50.597839;7345.593873261608;0.9119999999999999
90;0:00:55.656819;8971.963010200969;0.9109999999999999
91;0:00:52.941772;6647.714917076873;0.9099999999999999
92;0:00:54.148556;7554.701211217986;0.9089999999999999
93;0:00:55.760190;7891.123098949504;0.9079999999999999
94;0:00:51.562627;7025.227994316109;0.9069999999999999
95;0:00:51.517926;6870.640983703267;0.9059999999999999
96;0:00:53.365692;7923.006083296057;0.9049999999999999
97;0:00:51.440837;5685.561903941078;0.9039999999999999
98;0:00:48.912090;6033.17811030426;0.9029999999999999
99;0:00:52.963913;6391.750024951705;0.9019999999999999
100;0:00:49.884406;6604.741906011514;0.9009999999999999
101;0:00:51.838486;7412.97662956394;0.8999999999999999
102;0:00:50.563623;6043.396558853765;0.8989999999999999
103;0:01:00.192470;7898.343786621716;0.8979999999999999
104;0:00:55.399205;8271.844172955334;0.8969999999999999
105;0:00:52.540856;5852.295296946784;0.8959999999999999
106;0:00:52.639677;7464.465216398344;0.8949999999999999
107;0:00:51.438310;7312.244902913496;0.8939999999999999
108;0:01:02.973901;10700.190713698928;0.8929999999999999
109;0:00:56.883252;7852.111403059044;0.8919999999999999
110;0:00:55.078866;7066.658155520359;0.8909999999999999
111;0:00:53.935908;7977.176452708013;0.8899999999999999
112;0:00:52.533199;8160.005571476916;0.8889999999999999
113;0:00:48.725549;6451.060139962531;0.8879999999999999
114;0:00:54.406620;7159.074284352019;0.8869999999999999
115;0:00:51.312503;7839.6429774675735;0.8859999999999999
116;0:00:51.277079;7565.353147922511;0.8849999999999999
117;0:00:52.442218;7674.7959329998275;0.8839999999999999
118;0:00:51.552721;7760.228252353501;0.8829999999999999
119;0:00:52.553431;7496.813566653875;0.8819999999999999
120;0:00:49.039461;6973.876546317868;0.8809999999999999
121;0:00:53.656323;7066.017962619126;0.8799999999999999
122;0:00:55.826255;8869.58311634967;0.8789999999999999
123;0:00:56.322412;7030.0992664887735;0.8779999999999999
124;0:00:56.118567;7255.227063512281;0.8769999999999999
125;0:00:59.019287;8771.534798804825;0.8759999999999999
126;0:00:54.455082;7498.220219725807;0.8749999999999999
127;0:00:53.762758;7446.24818968803;0.8739999999999999
