Date;Open;Low;High;Close;Volume
20140102;1.205211;1.20201;1.20919;1.203674;99854.34003727137
20140103;1.203674;1.202458;1.208488;1.208488;90981.19018759578
20140106;1.206797;1.200264;1.207832;1.203992;74749.17011511326
20140107;1.204007;1.201865;1.205996;1.204747;64450.360029801726
20140108;1.204747;1.202458;1.213298;1.211681;73173.1600549072
20140109;1.211695;1.208182;1.215008;1.211226;68769.37999682872
20140110;1.21124;1.203876;1.211534;1.206098;70762.29005098343
20140113;1.205546;1.197849;1.207073;1.198523;64587.85007068515
20140114;1.198538;1.198437;1.203746;1.201995;66400.10002139209
20140115;1.201995;1.200509;1.206855;1.203283;71998.5400396809
20140116;1.203283;1.198926;1.203746;1.200768;67350.04999803753
20140117;1.200768;1.199113;1.214536;1.213416;64769.2499692291
20140120;1.213445;1.210229;1.214683;1.2124;45509.09999734163
20140121;1.2124;1.211431;1.21736;1.215244;61294.39000225812
20140122;1.215244;1.214196;1.224275;1.223481;60510.91002763808
20140123;1.223511;1.212474;1.223736;1.214801;75961.37003992496
20140124;1.214816;1.204732;1.218101;1.205647;93704.61970628053
20140127;1.206724;1.204007;1.214034;1.213048;75877.98968375474
20140128;1.213048;1.211651;1.21619;1.212989;68716.11989566684
20140129;1.212974;1.210874;1.216545;1.212606;83330.78988488019
20140130;1.21293;1.209424;1.217345;1.216234;78360.4898692593
20140131;1.216234;1.213268;1.221299;1.219408;87927.28992108256
20140203;1.218235;1.204602;1.219185;1.205633;83212.01993879676
20140204;1.205604;1.201071;1.209834;1.207759;74539.95995734633
20140205;1.207744;1.200005;1.20979;1.205255;71096.06998946518
20140206;1.205269;1.197648;1.207759;1.201057;70325.41996500641
20140207;1.201143;1.200091;1.206564;1.204065;69285.60000551492
20140210;1.204427;1.201071;1.205531;1.202386;50564.96998485923
20140211;1.202183;1.199472;1.206884;1.206418;70212.88003253192
20140212;1.206433;1.204921;1.221061;1.220971;77410.57993215322
20140213;1.220956;1.215554;1.222524;1.217893;76755.6099691987
20140214;1.217864;1.215539;1.223361;1.223242;61727.31999619304
20140217;1.223346;1.218235;1.225881;1.219512;54199.939979620285
20140218;1.219497;1.212165;1.220942;1.212606;78213.38995468616
20140219;1.21265;1.210522;1.216367;1.21455;74885.4299826771
20140220;1.214565;1.211651;1.217315;1.213902;72089.13005846739
20140221;1.213887;1.209555;1.217167;1.209599;69414.61999952048
20140224;1.210976;1.206811;1.213578;1.212827;63458.06002305447
20140225;1.212724;1.211182;1.21585;1.213725;68595.77001333982
20140226;1.213725;1.211901;1.218249;1.21816;66091.56002245843
20140227;1.21819;1.216086;1.219854;1.21733;65237.670007765286
20140228;1.217374;1.209555;1.220927;1.213681;80054.40005084872
20140303;1.214698;1.212151;1.216072;1.213489;69808.6300374791
20140304;1.213504;1.210522;1.215421;1.212606;62983.610057659454
20140305;1.212636;1.212474;1.218947;1.2177;64616.28003054112
20140306;1.2177;1.206695;1.218606;1.207817;79152.90004786104
20140307;1.207802;1.204689;1.20862;1.204834;63224.740245878704
20140309;1.20604;1.205502;1.20636;1.205967;713.3499989509584
20140310;1.20588;1.197619;1.20604;1.199573;53429.59035049379
20140311;1.199573;1.198093;1.201822;1.199113;53102.53035867214
20140312;1.199141;1.194172;1.201244;1.1955;63578.220398373895
20140313;1.195529;1.193602;1.200437;1.198409;80002.05042392014
20140314;1.198409;1.193289;1.199702;1.197074;71976.87044769527
20140316;1.197003;1.195414;1.197433;1.196129;1456.03000407666
20140317;1.196215;1.19383;1.19884;1.195129;51725.18031235039
20140318;1.195129;1.190505;1.195958;1.190958;62485.27036377787
20140319;1.191001;1.190717;1.196902;1.196602;70174.52035294473
20140320;1.19663;1.194943;1.200682;1.198021;65517.850360631935
20140321;1.198021;1.1946;1.198567;1.195557;52607.61032474041
20140323;1.192976;1.192962;1.194586;1.193788;1170.419999666512
20140324;1.193802;1.191781;1.198452;1.192293;57400.770391702645
20140325;1.192307;1.191441;1.19976;1.195629;73411.76046675444
20140326;1.195657;1.195557;1.203398;1.202646;63304.730429537594
20140327;1.20266;1.201649;1.210273;1.208503;70462.05042689294
20140328;1.208518;1.207467;1.212768;1.210068;57347.28035610914
20140331;1.21039;1.205269;1.21218;1.210126;64293.85037481785
20140401;1.210126;1.203905;1.210449;1.205734;54646.56039869785
20140402;1.205749;1.203543;1.209029;1.207759;51090.13031798602
20140403;1.207715;1.202747;1.21061;1.209834;67604.85035169122
20140404;1.209863;1.208123;1.21218;1.210141;59987.85030911117
20140407;1.210683;1.20703;1.210683;1.208605;60226.90039074421
20140408;1.208605;1.208401;1.214639;1.213931;71665.54051214457
20140409;1.214049;1.21127;1.214919;1.212136;66944.66040980071
20140410;1.212121;1.207832;1.213504;1.208664;74343.72053763269
20140411;1.208664;1.203398;1.208927;1.205298;67065.7504946664
20140414;1.208036;1.207146;1.211754;1.210463;65905.020494923
20140415;1.210478;1.207321;1.212783;1.211196;72020.81057214737
20140416;1.211196;1.209497;1.21656;1.21585;72391.71046537906
20140417;1.215879;1.212621;1.217345;1.215983;61846.45041105896
20140418;1.215835;1.213872;1.21653;1.215746;41531.92030102015
20140421;1.215983;1.215008;1.218101;1.217552;35147.54021279514
20140422;1.217552;1.217034;1.219839;1.218828;62938.300447106376
20140423;1.218828;1.212709;1.219334;1.214639;68440.01045066117
20140424;1.214683;1.212945;1.216515;1.214801;65440.33041036129
20140425;1.214831;1.213401;1.216234;1.214934;55397.97038626671
20140428;1.21427;1.213092;1.216945;1.21343;66330.65051245691
20140429;1.213519;1.210859;1.219408;1.218338;68326.1904977858
20140430;1.218324;1.214432;1.220107;1.216782;81583.67054140568
20140501;1.216767;1.215362;1.219022;1.218086;52963.12035495043
