Episode;Duration;Value;Epsilon
1;0:02:26.433659;10060.602422160844;1.0
2;0:02:20.272901;9687.40595204775;0.999
3;0:02:19.423551;9926.082643061525;0.998
4;0:02:43.187306;9859.683422918459;0.997
5;0:02:27.858413;9919.900975807304;0.996
6;0:02:27.566355;9660.3852462681;0.995
7;0:03:08.802473;10056.930906578698;0.994
8;0:02:12.826300;10057.265900573011;0.993
9;0:02:57.939123;9934.060071931945;0.992
10;0:02:10.859935;9179.436106526111;0.991
11;0:02:05.286264;9538.443909535523;0.99
12;0:02:37.017798;9805.046262456677;0.989
13;0:02:45.513067;10434.444467550344;0.988
14;0:02:34.949181;10406.875144496567;0.987
15;0:02:33.616708;9498.617994234803;0.986
16;0:03:01.487147;9433.267278829284;0.985
17;0:02:41.723030;11102.270911474989;0.984
18;0:02:20.469787;9258.947461089412;0.983
19;0:02:44.427892;10100.956479171895;0.982
20;0:02:30.578282;9869.711802312037;0.981
21;0:02:18.699129;11003.231142234312;0.98
22;0:02:26.743769;10230.467571398933;0.979
23;0:02:44.657617;9767.855189638696;0.978
24;0:02:38.389558;9999.224404536164;0.977
25;0:02:00.598608;9791.421800179412;0.976
26;0:02:01.709027;9734.474377364131;0.975
27;0:01:56.887172;9855.996654939427;0.974
28;0:03:03.424084;9151.198646385454;0.973
29;0:02:18.396656;9731.05306904984;0.972
30;0:02:44.186432;9987.577348279587;0.971
31;0:02:23.833484;9838.122909410575;0.97
32;0:02:26.560064;9374.726855782956;0.969
33;0:02:22.865047;10124.932797150035;0.968
34;0:02:11.798987;9867.334577699545;0.967
35;0:02:37.192040;9981.480628684103;0.966
36;0:03:04.826049;10120.844445241615;0.965
37;0:02:21.478943;9798.336133850904;0.964
38;0:02:18.774782;10261.007908933616;0.963
39;0:02:39.560611;9530.768605741709;0.962
40;0:02:36.834463;9803.004070855744;0.961
41;0:02:19.470353;9229.738788093331;0.96
42;0:01:58.078294;9810.008601976568;0.959
43;0:02:32.168566;9955.910696396859;0.958
44;0:02:52.489887;10227.347950606953;0.957
45;0:03:01.920168;9163.998071295437;0.956
46;0:02:18.999586;9654.905912707352;0.955
47;0:02:24.152230;10540.588458499387;0.954
48;0:02:34.554557;9525.291854463658;0.953
49;0:02:16.120135;9776.626595190877;0.952
50;0:02:34.799234;9468.320439814759;0.951
51;0:02:40.206212;10023.958824457435;0.95
52;0:02:16.436943;10313.200714015582;0.949
53;0:02:31.553760;9217.54763534087;0.948
54;0:02:36.232872;10528.265261438215;0.947
55;0:02:36.126087;10385.107431303499;0.946
56;0:02:45.284149;9214.971358760245;0.945
57;0:02:21.901736;9583.573111432761;0.944
58;0:02:57.169992;10316.924633426073;0.943
59;0:02:13.741461;9227.878591199753;0.942
60;0:03:00.126812;9503.223457648679;0.941
61;0:02:09.768816;9891.89276446051;0.94
62;0:02:01.587678;10205.858730522752;0.939
63;0:02:35.004295;9498.96942824445;0.938
64;0:02:36.242415;9657.431396810234;0.9369999999999999
65;0:02:54.879145;9332.412253849941;0.9359999999999999
66;0:02:50.681444;9234.664395664879;0.9349999999999999
67;0:02:38.195339;10081.231134948272;0.9339999999999999
68;0:02:05.136238;10018.364775038983;0.9329999999999999
69;0:02:42.123103;10024.601585783632;0.9319999999999999
70;0:01:53.969928;10645.330481752444;0.9309999999999999
71;0:02:46.955160;9516.477838562956;0.9299999999999999
72;0:02:05.776059;9802.404878573327;0.9289999999999999
73;0:02:58.063866;9311.434958373698;0.9279999999999999
74;0:02:27.799654;9324.18636962737;0.9269999999999999
75;0:02:28.664833;9525.33495591022;0.9259999999999999
76;0:02:51.041969;10097.390395349017;0.9249999999999999
77;0:02:25.863626;9198.49082125419;0.9239999999999999
78;0:02:50.517702;9477.10422258583;0.9229999999999999
79;0:02:09.229225;9578.567194413132;0.9219999999999999
80;0:02:45.134837;10069.574833879527;0.9209999999999999
81;0:02:30.294016;10314.654400752233;0.9199999999999999
82;0:02:45.003367;9660.746452303883;0.9189999999999999
83;0:02:22.898659;9102.082343153448;0.9179999999999999
84;0:02:10.072814;10150.750090640868;0.9169999999999999
85;0:01:56.173098;10331.497481965931;0.9159999999999999
86;0:02:09.724863;9901.539034227591;0.9149999999999999
87;0:02:39.455829;10170.922442756662;0.9139999999999999
88;0:02:53.223183;9902.194690299864;0.9129999999999999
89;0:02:44.240834;9675.739794270557;0.9119999999999999
90;0:02:49.781995;10016.755920259931;0.9109999999999999
91;0:02:02.458544;10319.95992779461;0.9099999999999999
92;0:02:22.804797;9432.729526951034;0.9089999999999999
93;0:02:15.835184;9908.478465847129;0.9079999999999999
94;0:02:06.958395;9775.65579093619;0.9069999999999999
95;0:02:15.952032;10535.468098104413;0.9059999999999999
96;0:02:32.262736;10732.707830803964;0.9049999999999999
97;0:02:01.775740;10468.501438529847;0.9039999999999999
98;0:02:17.227783;9566.79415457921;0.9029999999999999
99;0:02:15.347036;9897.584658020842;0.9019999999999999
100;0:02:44.484052;10048.48813766486;0.9009999999999999
101;0:02:22.288349;9462.475764266144;0.8999999999999999
102;0:02:20.956657;10644.362214291174;0.8989999999999999
103;0:02:21.644668;9572.892671220838;0.8979999999999999
104;0:02:37.171962;10173.257548328016;0.8969999999999999
105;0:02:13.731859;10210.589145453538;0.8959999999999999
106;0:02:23.641625;9732.032172296947;0.8949999999999999
107;0:02:42.430051;10206.706960918802;0.8939999999999999
108;0:02:37.395939;9524.155767561522;0.8929999999999999
109;0:02:19.517891;9859.537870134069;0.8919999999999999
110;0:01:59.061409;10512.730289151004;0.8909999999999999
111;0:02:12.749807;10504.542894290878;0.8899999999999999
112;0:02:07.380527;10041.588390526516;0.8889999999999999
113;0:02:09.003552;10134.36216623796;0.8879999999999999
114;0:01:55.873880;9411.79974225031;0.8869999999999999
115;0:02:46.597560;9956.892079512;0.8859999999999999
116;0:02:20.268024;9793.02047139978;0.8849999999999999
117;0:02:44.221482;9458.29035431211;0.8839999999999999
118;0:02:31.655475;9185.571887671344;0.8829999999999999
119;0:02:06.074748;10573.591069554488;0.8819999999999999
120;0:02:36.258674;9779.617259033685;0.8809999999999999
121;0:02:14.356017;9830.519751621936;0.8799999999999999
122;0:02:21.791654;9998.631624047635;0.8789999999999999
123;0:02:41.040435;8470.548939922115;0.8779999999999999
124;0:01:57.289106;9676.578808743436;0.8769999999999999
125;0:02:32.925555;9376.19467951741;0.8759999999999999
126;0:02:40.081232;9708.948420803803;0.8749999999999999
127;0:02:10.921508;9293.502787905483;0.8739999999999999
128;0:02:48.403326;9685.92705962873;0.8729999999999999
129;0:02:46.684023;8950.595941555715;0.8719999999999999
130;0:02:33.307430;9349.265472395855;0.8709999999999999
131;0:02:23.736567;9519.189683273775;0.8699999999999999
132;0:02:54.759384;9099.765192604535;0.8689999999999999
133;0:01:53.794539;9247.360285506325;0.8679999999999999
134;0:02:28.105854;9800.65006147798;0.8669999999999999
135;0:02:34.772737;9356.321041302743;0.8659999999999999
136;0:02:04.840472;9640.70476611598;0.8649999999999999
137;0:02:17.138910;9724.31653050793;0.8639999999999999
