Episode;Duration;Value;Epsilon
1;0:02:53.353517;9033.574389569683;1.0
2;0:02:39.101804;9338.721283305491;0.999
3;0:02:35.625860;8913.113798137452;0.998
4;0:03:01.363260;8390.40773325789;0.997
5;0:03:12.972806;8175.171722501781;0.996
6;0:02:45.567499;9207.60892345065;0.995
7;0:02:40.352118;9737.48120046611;0.994
8;0:02:47.247086;9109.643938786408;0.993
9;0:03:24.297634;9334.032975077886;0.992
10;0:02:46.251105;9021.496493713339;0.991
11;0:02:41.065958;9674.54683995762;0.99
12;0:02:59.507664;9203.877043764958;0.989
13;0:02:44.662932;9412.259014203353;0.988
14;0:02:59.747650;9057.009599452225;0.987
15;0:02:29.850112;9383.74258263919;0.986
16;0:02:42.923981;9527.99739902056;0.985
17;0:02:40.032846;8797.21827395263;0.984
18;0:02:30.170279;9164.222460384122;0.983
19;0:03:27.677790;8903.740133314577;0.982
20;0:02:42.566365;8884.777381457;0.981
21;0:03:10.235009;8988.880584904206;0.98
22;0:02:43.669427;9565.576530635093;0.979
23;0:02:38.528294;8945.934449067909;0.978
24;0:03:10.965984;8814.014752572433;0.977
25;0:02:37.628880;9279.834305300545;0.976
26;0:02:59.815017;9407.327184449792;0.975
27;0:02:51.463579;9109.093443525175;0.974
28;0:02:45.760103;9280.070240324107;0.973
29;0:02:31.461667;9181.227565506977;0.972
30;0:02:53.622900;9105.678014098406;0.971
31;0:03:11.281088;8930.823497563024;0.97
32;0:02:39.425032;8621.285226634354;0.969
33;0:02:40.652033;9066.662175959429;0.968
34;0:03:31.049105;9446.580505496664;0.967
35;0:02:50.143791;9486.147020636728;0.966
36;0:02:58.113182;9593.335820922028;0.965
37;0:02:56.402144;9782.098580241785;0.964
38;0:03:17.283119;9500.907021956116;0.963
39;0:03:15.804120;10071.75537530808;0.962
40;0:03:25.354427;9380.004562909693;0.961
41;0:02:33.746234;9674.3847002568;0.96
42;0:03:03.659256;9096.764851545473;0.959
43;0:03:18.961343;9552.713123142797;0.958
44;0:02:59.824049;8889.622122666855;0.957
45;0:02:45.405171;9366.128898428145;0.956
46;0:02:50.089777;9660.765456789326;0.955
47;0:02:58.659989;9428.016078343171;0.954
48;0:03:05.774990;8961.034129044558;0.953
49;0:03:08.409472;9396.915420316624;0.952
50;0:02:55.009813;9109.071580141926;0.951
51;0:03:28.559222;9661.59533242206;0.95
52;0:02:55.954709;9464.564077682653;0.949
53;0:03:31.742197;8778.96817734333;0.948
54;0:02:59.625439;9119.160612304722;0.947
55;0:02:40.702991;8584.855957952854;0.946
56;0:03:01.050152;9078.515084626672;0.945
57;0:03:12.903648;8715.359691831101;0.944
58;0:02:49.672331;9087.969521940768;0.943
59;0:02:53.043750;8707.843323144467;0.942
60;0:03:48.044466;9004.272905588894;0.941
61;0:02:50.777657;8881.531022407395;0.94
62;0:03:09.205219;9080.546634018376;0.939
63;0:03:35.577903;9455.052231076952;0.938
64;0:03:32.946284;8550.767152748183;0.9369999999999999
65;0:03:51.725147;8529.734338103412;0.9359999999999999
66;0:03:05.211647;8804.519079656291;0.9349999999999999
67;0:04:19.679064;8809.600935646838;0.9339999999999999
68;0:03:20.556146;9302.014383741267;0.9329999999999999
69;0:02:35.754797;9204.672682534794;0.9319999999999999
70;0:03:14.994426;8619.766290938584;0.9309999999999999
71;0:02:48.229405;8809.489998670757;0.9299999999999999
72;0:02:56.535955;8862.479605656552;0.9289999999999999
73;0:02:46.882322;8976.295339553777;0.9279999999999999
74;0:02:17.190126;8979.536897640057;0.9269999999999999
75;0:02:38.789013;10018.50761500382;0.9259999999999999
76;0:03:16.094345;8945.411253159886;0.9249999999999999
77;0:02:25.401516;8978.512986070324;0.9239999999999999
78;0:03:16.573088;8657.864729007077;0.9229999999999999
79;0:02:51.738630;8622.004501367723;0.9219999999999999
80;0:02:32.385354;9397.74647636426;0.9209999999999999
81;0:02:56.279738;9055.950248844994;0.9199999999999999
82;0:02:12.911909;9043.365970783261;0.9189999999999999
83;0:02:33.160644;8806.589834041071;0.9179999999999999
84;0:02:29.130489;8099.678802737759;0.9169999999999999
85;0:02:19.361219;8927.390757850482;0.9159999999999999
86;0:02:34.483345;9309.327879230443;0.9149999999999999
87;0:02:40.350035;8724.081442817582;0.9139999999999999
88;0:03:02.158340;9134.56149048482;0.9129999999999999
89;0:02:13.792615;8413.078843035173;0.9119999999999999
90;0:02:22.362281;8152.103136350634;0.9109999999999999
91;0:02:31.655999;9231.389861843301;0.9099999999999999
92;0:02:31.271654;8891.390887802041;0.9089999999999999
93;0:03:17.334489;8359.799419955416;0.9079999999999999
94;0:03:11.553316;8516.039638895296;0.9069999999999999
95;0:02:38.498034;8823.393752251553;0.9059999999999999
96;0:02:33.510162;8706.792498757473;0.9049999999999999
97;0:02:36.289180;7748.566240059342;0.9039999999999999
98;0:02:35.326477;8080.020391171874;0.9029999999999999
99;0:02:44.764463;8334.84073864479;0.9019999999999999
100;0:02:22.732374;8121.159693144011;0.9009999999999999
101;0:02:19.112571;8666.306214315362;0.8999999999999999
102;0:02:36.091738;8646.234384754436;0.8989999999999999
103;0:02:28.982542;8415.787717622228;0.8979999999999999
104;0:02:39.198137;8343.263021813013;0.8969999999999999
105;0:03:02.673803;8183.833936187779;0.8959999999999999
106;0:02:17.808932;9038.251809482426;0.8949999999999999
107;0:02:22.250264;7984.311242209367;0.8939999999999999
108;0:02:31.099437;8735.832956937418;0.8929999999999999
109;0:02:16.609349;8456.817190478718;0.8919999999999999
110;0:02:32.889321;8226.962663314107;0.8909999999999999
111;0:02:01.287322;8737.732849539305;0.8899999999999999
112;0:02:25.464407;8914.189546360763;0.8889999999999999
113;0:02:38.452483;8489.221992420711;0.8879999999999999
114;0:02:47.368531;9155.95182743205;0.8869999999999999
115;0:02:19.996602;7825.121961616471;0.8859999999999999
116;0:02:39.141438;8654.470529210128;0.8849999999999999
117;0:02:23.394068;8741.947595307527;0.8839999999999999
118;0:02:30.414582;9008.841182846225;0.8829999999999999
119;0:02:37.551839;8966.520634213884;0.8819999999999999
120;0:02:24.030983;8880.298075836503;0.8809999999999999
121;0:02:37.594958;8143.413657529891;0.8799999999999999
122;0:02:51.860954;9294.250478452548;0.8789999999999999
123;0:01:59.041274;9445.017077133252;0.8779999999999999
124;0:02:37.560036;8145.9787245006155;0.8769999999999999
125;0:02:29.018489;8282.413010874514;0.8759999999999999
126;0:02:31.730583;9240.345262313496;0.8749999999999999
127;0:02:12.329435;8655.53820640033;0.8739999999999999
128;0:02:21.968258;9031.37553295101;0.8729999999999999
129;0:03:12.718863;9294.745193587254;0.8719999999999999
130;0:02:07.606847;8500.228227514564;0.8709999999999999
131;0:02:48.378432;9499.192979740501;0.8699999999999999
132;0:02:14.984042;9508.316016778834;0.8689999999999999
133;0:02:36.845590;9442.93200294129;0.8679999999999999
134;0:02:53.510003;9438.883029351922;0.8669999999999999
135;0:02:52.107970;9929.678635764953;0.8659999999999999
136;0:02:43.214532;9851.502106850336;0.8649999999999999
137;0:03:27.841272;10215.622129714373;0.8639999999999999
138;0:03:18.027402;9907.702447888336;0.8629999999999999
139;0:02:35.501503;9998.069660443443;0.8619999999999999
140;0:03:05.071782;9987.629303997468;0.8609999999999999
141;0:03:52.722303;9805.91681569946;0.8599999999999999
142;0:03:26.529349;9806.005919932095;0.8589999999999999
143;0:03:05.223600;10009.046841621004;0.8579999999999999
144;0:03:16.408225;9661.55042543274;0.8569999999999999
145;0:03:03.294992;10510.087962667429;0.8559999999999999
146;0:03:20.197499;10123.481214178099;0.8549999999999999
147;0:02:58.121292;9854.29265010881;0.8539999999999999
148;0:03:30.842793;10739.589514214755;0.8529999999999999
149;0:03:46.204093;10462.063909547442;0.8519999999999999
150;0:03:09.616932;10311.718145238363;0.8509999999999999
151;0:03:15.157451;10677.363279130104;0.8499999999999999
152;0:02:52.356681;10350.429540708268;0.8489999999999999
153;0:02:29.976748;10265.37086283448;0.8479999999999999
154;0:02:49.098353;10033.54336993768;0.8469999999999999
155;0:03:20.493739;10067.704457219119;0.8459999999999999
156;0:02:50.381947;10612.62320473284;0.8449999999999999
157;0:03:56.468475;10226.19227605676;0.8439999999999999
158;0:02:41.088974;10436.939656184213;0.8429999999999999
159;0:03:01.777521;9595.735362998734;0.8419999999999999
160;0:03:01.624145;10309.649569455338;0.8409999999999999
161;0:03:30.196821;10972.028247041078;0.8399999999999999
162;0:03:06.500602;10598.83385812619;0.8389999999999999
163;0:02:54.266014;10329.603835629254;0.8379999999999999
164;0:02:32.199025;10919.773272947861;0.8369999999999999
165;0:03:25.106677;9802.807064068676;0.8359999999999999
166;0:02:50.011646;11439.161736982878;0.8349999999999999
167;0:03:42.314128;9659.083115950883;0.8339999999999999
168;0:03:00.443224;10440.754419377396;0.8329999999999999
169;0:02:29.489446;10858.249597058808;0.8319999999999999
170;0:03:26.517114;10132.76127285382;0.8309999999999998
171;0:03:15.133080;10552.752593171712;0.8299999999999998
172;0:03:49.390657;8945.564112317064;0.8289999999999998
173;0:02:41.021933;9417.518332711401;0.8279999999999998
174;0:02:34.489810;9659.366566119512;0.8269999999999998
175;0:02:29.196224;9054.906797312706;0.8259999999999998
176;0:02:17.628803;9332.05565384936;0.8249999999999998
177;0:02:38.577578;8649.736108651516;0.8239999999999998
178;0:03:00.927602;8200.42213299374;0.8229999999999998
179;0:02:18.597967;8900.708977037724;0.8219999999999998
180;0:02:26.342802;9501.102896137412;0.8209999999999998
181;0:02:47.055035;9787.685370604499;0.8199999999999998
182;0:02:41.941337;10161.160328188567;0.8189999999999998
183;0:02:25.796434;10226.650515615067;0.8179999999999998
184;0:02:59.691073;10368.473704378197;0.8169999999999998
185;0:02:22.650480;10282.950809930717;0.8159999999999998
186;0:02:29.550318;9731.983474266628;0.8149999999999998
187;0:02:08.955901;9096.573689993074;0.8139999999999998
188;0:02:05.714473;10374.710234737451;0.8129999999999998
189;0:02:22.922073;9694.131232828568;0.8119999999999998
190;0:01:52.162102;9399.16156733867;0.8109999999999998
191;0:02:44.009017;10130.010215162016;0.8099999999999998
192;0:02:26.366305;10093.513760239266;0.8089999999999998
193;0:02:04.647616;9325.70128802418;0.8079999999999998
194;0:02:44.945141;9956.00992603354;0.8069999999999998
195;0:02:44.568455;9056.997295728288;0.8059999999999998
196;0:02:24.077051;9340.314394205358;0.8049999999999998
197;0:02:16.204342;9370.723878601875;0.8039999999999998
198;0:02:33.739888;8967.462177979587;0.8029999999999998
199;0:02:41.156049;9374.407735157878;0.8019999999999998
200;0:02:22.349440;9657.413894683317;0.8009999999999998
201;0:02:26.829883;9788.023465441516;0.7999999999999998
202;0:01:51.699076;10299.884956173297;0.7989999999999998
203;0:02:21.432382;10061.102882910845;0.7979999999999998
204;0:02:40.360000;9823.129185262525;0.7969999999999998
205;0:03:02.852926;10053.08873088727;0.7959999999999998
206;0:02:25.191307;9665.870653162356;0.7949999999999998
207;0:02:46.657529;10280.818278425137;0.7939999999999998
208;0:03:06.385228;9952.537795817343;0.7929999999999998
209;0:02:32.134261;9305.797543395474;0.7919999999999998
210;0:02:40.956966;9963.88332733413;0.7909999999999998
211;0:02:10.514008;10295.734963227404;0.7899999999999998
212;0:02:13.040704;9679.78557037854;0.7889999999999998
213;0:02:01.419131;9563.52271619064;0.7879999999999998
214;0:02:57.902303;10177.864651763422;0.7869999999999998
215;0:02:14.401928;9095.025971767565;0.7859999999999998
216;0:02:21.760011;9674.26862588544;0.7849999999999998
217;0:02:29.835952;10240.205064367616;0.7839999999999998
218;0:02:10.266938;9868.84368014648;0.7829999999999998
219;0:02:07.284516;9703.267992033636;0.7819999999999998
220;0:02:47.794631;10411.566242935614;0.7809999999999998
221;0:01:54.571823;10294.446092481048;0.7799999999999998
222;0:02:29.844168;10254.803301492168;0.7789999999999998
223;0:02:32.457401;9550.027232003024;0.7779999999999998
224;0:02:09.482128;10601.629429009361;0.7769999999999998
225;0:02:30.181754;9915.261930493689;0.7759999999999998
226;0:01:54.341860;9772.944630334081;0.7749999999999998
227;0:02:49.898350;9955.453974158581;0.7739999999999998
228;0:02:52.041304;9982.025783791943;0.7729999999999998
229;0:02:50.034490;8839.003995368397;0.7719999999999998
230;0:02:16.169747;11149.007598795222;0.7709999999999998
231;0:02:25.431748;10661.583374058342;0.7699999999999998
232;0:02:33.966025;9789.0013164228;0.7689999999999998
233;0:02:54.630833;10045.02852975609;0.7679999999999998
234;0:02:34.088004;10160.375028145538;0.7669999999999998
235;0:02:30.634696;8824.533628444942;0.7659999999999998
236;0:02:15.516329;9771.158337510898;0.7649999999999998
237;0:02:45.745886;10525.742999444608;0.7639999999999998
238;0:03:36.304470;9236.91368382805;0.7629999999999998
239;0:03:43.349069;9178.959819829117;0.7619999999999998
240;0:03:34.471492;9979.635248405437;0.7609999999999998
241;0:03:47.006663;9832.167059017416;0.7599999999999998
242;0:04:00.202485;10160.481582712491;0.7589999999999998
243;0:04:07.517020;9624.773412796003;0.7579999999999998
244;0:04:55.294727;10173.573363574982;0.7569999999999998
245;0:04:55.207289;10063.984823144043;0.7559999999999998
246;0:05:28.146501;9475.120012428186;0.7549999999999998
247;0:04:55.320532;9149.804808458679;0.7539999999999998
