Episode;Duration;Value;Epsilon
1;0:03:06.714345;10363.831953126872;1.0
2;0:02:18.227070;9412.350313040093;0.999
3;0:01:48.180653;9242.397745919483;0.998
4;0:02:57.132129;10726.06242340474;0.997
5;0:02:28.230576;9591.580582549546;0.996
6;0:02:27.039245;9981.936441135882;0.995
7;0:02:12.150741;10147.007059940166;0.994
8;0:02:28.461338;10049.26113252117;0.993
9;0:02:28.470484;9760.955560306473;0.992
10;0:02:51.403395;9051.282355865456;0.991
11;0:02:39.905681;9530.644171194841;0.99
12;0:03:14.349490;9530.357872221559;0.989
13;0:02:46.814580;10397.694335267208;0.988
14;0:02:49.125168;10223.457791968614;0.987
15;0:02:36.723671;9529.240087128026;0.986
16;0:02:33.983526;9306.195433389292;0.985
17;0:02:30.866125;10091.853287682934;0.984
18;0:02:37.501152;9925.976326360369;0.983
19;0:02:21.198102;9963.590190399305;0.982
20;0:02:32.822476;9665.585853755194;0.981
21;0:02:37.826831;9613.118488259868;0.98
22;0:02:50.787919;9835.76972513574;0.979
23;0:02:42.965982;9797.802385540394;0.978
24;0:02:34.041851;10061.133013530227;0.977
25;0:02:12.509851;9352.073856266052;0.976
26;0:03:14.761945;9600.628906147784;0.975
27;0:03:07.261199;9080.746310159237;0.974
28;0:02:35.393208;9202.628359924493;0.973
29;0:02:40.068477;9506.546349691704;0.972
30;0:02:56.205652;10145.074669491942;0.971
31;0:02:42.052591;9941.783526732372;0.97
32;0:02:14.320971;9496.63946698039;0.969
33;0:02:25.414627;9915.94143400683;0.968
34;0:02:40.396533;10622.544462979507;0.967
35;0:03:01.544298;9299.15043132143;0.966
36;0:02:57.995504;9470.860866197092;0.965
37;0:02:33.365973;9359.301646323855;0.964
38;0:02:12.864111;9826.153423772561;0.963
39;0:02:55.659693;10202.182474683488;0.962
40;0:02:19.104396;9663.795514616968;0.961
41;0:02:59.341596;10062.931566895475;0.96
42;0:02:47.277886;10163.345563377352;0.959
43;0:02:58.702912;9649.210928145689;0.958
44;0:02:29.185759;9499.051539727541;0.957
45;0:02:25.093901;9366.818003589196;0.956
46;0:02:33.391153;10095.202410438944;0.955
47;0:02:26.552371;9951.528162961493;0.954
48;0:02:46.512554;9895.809477524163;0.953
49;0:02:53.597290;9761.288546296819;0.952
50;0:02:26.774884;9343.36522892565;0.951
51;0:02:00.203501;10304.73960248575;0.95
52;0:02:55.809547;9717.227282278585;0.949
53;0:02:26.840987;9758.353302208201;0.948
54;0:02:23.820531;10282.895998639244;0.947
55;0:02:38.541474;9223.487984141151;0.946
56;0:02:04.085862;9268.112225246434;0.945
57;0:02:15.451533;10208.996788451997;0.944
58;0:02:17.195419;10014.828660168167;0.943
59;0:02:25.836930;9196.853885453062;0.942
60;0:02:31.139109;9712.371987681461;0.941
61;0:02:21.721688;10207.469520425515;0.94
