Episode;Duration;Value;Epsilon
1;0:02:47.526681;9636.768847835261;1.0
2;0:02:21.868910;9645.830227857272;0.999
3;0:02:36.779007;9061.6597160467;0.998
4;0:01:56.810203;9415.444774254638;0.997
5;0:02:58.412128;8869.966748036486;0.996
6;0:01:53.360422;9832.103083660428;0.995
7;0:02:32.482189;8833.91866822168;0.994
8;0:01:59.263346;8722.970942696547;0.993
9;0:02:15.473193;8925.618636667557;0.992
10;0:02:13.390450;9054.063370645801;0.991
11;0:02:47.546478;9750.631478770689;0.99
12;0:02:49.655584;8653.859362054673;0.989
13;0:02:51.989213;8675.497172800422;0.988
14;0:02:18.570666;9146.994258144046;0.987
15;0:02:35.724933;9352.234553029806;0.986
16;0:02:20.989028;9674.548421440246;0.985
17;0:02:14.323655;9296.838926992394;0.984
18;0:02:47.885948;9205.981023110588;0.983
19;0:02:23.550251;9867.734186189371;0.982
20;0:02:41.174293;8495.292956565914;0.981
21;0:02:01.367721;9044.33470518226;0.98
22;0:02:16.435035;9153.41487551144;0.979
23;0:02:42.141183;9134.462820077102;0.978
24;0:02:29.144168;9307.24269996897;0.977
25;0:02:55.059914;9483.61446901523;0.976
26;0:02:41.624636;9339.665138785816;0.975
27;0:03:04.314071;9318.132431481747;0.974
28;0:02:45.131591;9547.511240005846;0.973
29;0:02:44.819432;9236.282783104696;0.972
30;0:02:26.850884;9265.049022046524;0.971
31;0:02:51.650380;10474.785248808445;0.97
32;0:03:02.819782;9350.291637837923;0.969
33;0:02:22.808894;8589.749617414322;0.968
34;0:03:33.683588;8805.187539097062;0.967
35;0:02:40.512083;9312.120412958815;0.966
36;0:03:09.736167;8808.135243141103;0.965
37;0:02:38.728616;9693.398689755082;0.964
38;0:02:55.793250;9448.227034299563;0.963
39;0:02:55.345706;8997.091014055564;0.962
40;0:02:43.470547;9463.693448591726;0.961
41;0:01:52.917967;9322.31721726734;0.96
42;0:02:34.735119;9688.28827099044;0.959
43;0:02:51.403176;9042.234472509233;0.958
44;0:02:34.660191;9384.402746652171;0.957
45;0:02:54.111904;8404.921253284165;0.956
46;0:03:12.851992;9764.956149107138;0.955
47;0:02:38.335122;8777.74881987682;0.954
48;0:03:20.518639;10314.3543660734;0.953
49;0:02:26.360419;8626.337079464829;0.952
50;0:02:23.666608;9730.111679701164;0.951
51;0:02:35.577482;9105.190697868944;0.95
52;0:02:48.203751;9818.248955963987;0.949
53;0:03:06.048808;8828.48775175819;0.948
54;0:02:27.115197;10461.393685524727;0.947
55;0:02:56.699498;8826.148167341622;0.946
56;0:02:51.001541;8877.940322080804;0.945
57;0:02:35.360106;9628.751056099223;0.944
58;0:02:47.926522;8934.591188128179;0.943
59;0:02:36.013261;10125.113668461965;0.942
60;0:03:08.387773;9504.791321074057;0.941
61;0:02:50.756500;8761.756200784876;0.94
62;0:02:37.528200;10230.034692965297;0.939
63;0:03:18.621562;9184.302551118612;0.938
64;0:02:46.478251;9575.377473504022;0.9369999999999999
65;0:03:04.535536;9879.899724873068;0.9359999999999999
66;0:02:25.742424;8868.79705775061;0.9349999999999999
67;0:02:30.107111;9990.437824079947;0.9339999999999999
68;0:02:31.167289;9198.146908069728;0.9329999999999999
69;0:02:36.860407;9825.892120031313;0.9319999999999999
