Episode;Duration;Value;Epsilon
1;0:01:47.987141;9872.93029010437;1.0
2;0:01:50.492368;10520.517795043555;0.999
3;0:02:26.785205;9951.134781106593;0.998
4;0:02:19.131644;9940.446975779587;0.997
5;0:02:03.747963;10210.689985269757;0.996
6;0:02:10.148890;10117.103883030934;0.995
7;0:02:02.247577;9777.027752212533;0.994
8;0:02:39.400337;9944.242712425725;0.993
9;0:02:49.344108;9722.652286345434;0.992
10;0:02:30.228954;9733.792952285297;0.991
11;0:02:21.444149;9719.205248120943;0.99
12;0:02:04.097645;9992.654266752663;0.989
13;0:02:30.089817;9806.301739910485;0.988
14;0:02:28.540108;10141.612980319187;0.987
15;0:01:55.618144;8996.126241950398;0.986
16;0:02:35.609448;10172.85821789663;0.985
17;0:02:05.662739;9842.277939251759;0.984
18;0:02:21.401276;10269.73921105772;0.983
19;0:01:59.858677;9374.060632881092;0.982
20;0:02:23.999242;10041.373155734529;0.981
21;0:01:47.069699;9524.072455100208;0.98
22;0:02:13.101524;9247.090865189455;0.979
23;0:02:01.645927;9914.170277426752;0.978
24;0:02:39.005980;9380.407994826428;0.977
25;0:03:06.992781;10032.179866405491;0.976
26;0:02:21.454430;9616.949549627307;0.975
27;0:02:20.147660;10566.327191460345;0.974
28;0:02:37.267406;9617.929066572427;0.973
29;0:02:16.550310;9826.629987138529;0.972
30;0:02:35.357318;10545.03093371212;0.971
31;0:02:31.283108;9808.20157543273;0.97
32;0:03:09.402817;10247.855063912888;0.969
33;0:02:21.873624;10735.92186788048;0.968
34;0:02:07.850888;9878.09038122775;0.967
35;0:02:31.175399;9379.248876850266;0.966
36;0:02:30.983689;9793.58488666351;0.965
37;0:02:43.488191;9804.90035870487;0.964
38;0:02:21.820174;10029.989816921458;0.963
39;0:02:11.660817;10171.282173045254;0.962
40;0:02:32.326406;9821.291106333589;0.961
41;0:02:50.488411;9779.674529857135;0.96
42;0:02:52.520030;9925.405982108288;0.959
43;0:02:05.358421;9579.663295965793;0.958
44;0:02:13.660840;10169.207581000503;0.957
45;0:02:51.923469;10852.342933722783;0.956
46;0:02:51.800392;10024.95544374532;0.955
47;0:02:45.322038;9667.841664446833;0.954
48;0:02:29.078256;9477.017776436513;0.953
49;0:02:44.130934;9982.398869827028;0.952
50;0:02:52.197282;9050.209205507606;0.951
51;0:02:37.068886;10226.237344876858;0.95
52;0:02:39.180521;9780.678639931359;0.949
53;0:02:34.886821;9650.822820207375;0.948
54;0:02:23.244326;9540.936354857877;0.947
55;0:02:42.635276;9308.673336814756;0.946
56;0:02:49.302831;9694.420416703062;0.945
57;0:02:01.492978;9513.998203990019;0.944
58;0:02:39.360697;9606.858105100984;0.943
59;0:02:53.061379;9600.142503317804;0.942
60;0:01:59.638355;9575.771749235342;0.941
61;0:02:17.652391;9938.481210300406;0.94
62;0:02:38.256948;9947.51360955214;0.939
63;0:02:55.226760;9912.929760458717;0.938
64;0:02:57.652261;9715.668312484207;0.9369999999999999
65;0:02:37.361468;10132.723487912781;0.9359999999999999
66;0:02:51.533204;9178.841125051575;0.9349999999999999
67;0:02:57.103221;10130.877444755133;0.9339999999999999
68;0:02:23.434320;9617.257278388504;0.9329999999999999
69;0:02:26.288087;10031.391505805484;0.9319999999999999
70;0:03:04.451911;9498.823717884428;0.9309999999999999
71;0:02:34.492420;10656.722156802192;0.9299999999999999
72;0:02:56.695603;9953.03866042475;0.9289999999999999
73;0:02:50.528768;9715.87455495176;0.9279999999999999
74;0:02:43.847788;10245.25661165512;0.9269999999999999
75;0:02:41.766609;9905.322838789505;0.9259999999999999
76;0:02:48.643358;10024.696100741752;0.9249999999999999
77;0:02:11.467640;10347.80238348554;0.9239999999999999
78;0:02:57.485046;9864.508000040252;0.9229999999999999
79;0:02:36.337729;9905.684211363052;0.9219999999999999
80;0:02:29.770595;10046.212918536618;0.9209999999999999
81;0:02:32.929568;10345.50919629824;0.9199999999999999
82;0:02:49.811407;9663.250627588866;0.9189999999999999
83;0:02:13.130699;9771.358479168079;0.9179999999999999
84;0:02:46.001857;10147.232841362416;0.9169999999999999
85;0:02:44.441456;10309.70242540809;0.9159999999999999
86;0:02:49.483105;9710.774436310547;0.9149999999999999
87;0:02:34.461615;9239.547450286924;0.9139999999999999
88;0:02:10.544640;9980.899087780565;0.9129999999999999
89;0:02:28.056234;9426.163710863098;0.9119999999999999
90;0:03:04.357724;9712.063522678005;0.9109999999999999
91;0:02:19.994832;10046.953660539197;0.9099999999999999
92;0:02:19.340598;10018.708104877991;0.9089999999999999
93;0:02:05.172176;9993.876478948727;0.9079999999999999
94;0:02:26.038055;9018.438720687029;0.9069999999999999
95;0:02:57.023357;8913.766649184015;0.9059999999999999
96;0:03:04.787245;10000.518908619359;0.9049999999999999
97;0:03:07.892776;10228.18333825819;0.9039999999999999
98;0:02:38.035340;9955.92540606658;0.9029999999999999
99;0:02:36.235118;9519.081257388738;0.9019999999999999
100;0:02:20.258352;9495.34460320588;0.9009999999999999
101;0:02:52.561007;9671.184040466896;0.8999999999999999
102;0:02:40.922667;9590.406631414358;0.8989999999999999
103;0:03:11.108015;10009.313558020474;0.8979999999999999
104;0:03:33.039951;9326.571034724;0.8969999999999999
105;0:02:53.987521;9987.349039732886;0.8959999999999999
106;0:02:36.374213;10002.161018116414;0.8949999999999999
107;0:02:42.591799;9250.058036273313;0.8939999999999999
108;0:02:53.581097;10524.221064348862;0.8929999999999999
109;0:03:07.926629;10421.669707940357;0.8919999999999999
110;0:02:50.246725;9356.459192446455;0.8909999999999999
111;0:02:26.228813;10061.864655853466;0.8899999999999999
112;0:02:16.706872;10230.699249247093;0.8889999999999999
113;0:02:14.197896;10675.568880298088;0.8879999999999999
114;0:02:19.973474;10395.49040090397;0.8869999999999999
115;0:02:20.037489;10297.987541993665;0.8859999999999999
116;0:02:42.323312;9881.769473957087;0.8849999999999999
117;0:02:27.974056;9357.091328402656;0.8839999999999999
118;0:02:53.646064;9301.728882460531;0.8829999999999999
119;0:02:44.799019;10455.576934920773;0.8819999999999999
120;0:02:52.084465;10458.069317277294;0.8809999999999999
121;0:03:20.088384;9453.140317785837;0.8799999999999999
122;0:03:07.116213;9355.383126328426;0.8789999999999999
123;0:03:37.463263;10157.042628011302;0.8779999999999999
124;0:03:23.124680;8996.968886034916;0.8769999999999999
125;0:03:58.555161;9334.991434707414;0.8759999999999999
126;0:03:19.988919;9939.02611570122;0.8749999999999999
127;0:02:56.328336;10610.586235117935;0.8739999999999999
128;0:02:59.035511;9492.810801476744;0.8729999999999999
129;0:03:33.046048;9769.236982089713;0.8719999999999999
130;0:02:37.940103;10650.424003217262;0.8709999999999999
131;0:02:26.270771;9845.062035326358;0.8699999999999999
