Episode;Duration;Value;Epsilon
1;0:03:31.953751;9744.528440507796;1.0
2;0:02:50.852826;9058.495094897626;0.999
3;0:02:45.362218;8390.183928058614;0.998
4;0:02:59.015412;9135.490557686855;0.997
5;0:02:34.671369;8783.957419668774;0.996
6;0:02:44.403953;9796.416886523806;0.995
7;0:03:01.257983;9237.102954811091;0.994
8;0:02:48.507444;10101.122952671218;0.993
9;0:02:36.951883;9114.273211562218;0.992
10;0:02:29.940975;10391.021492407477;0.991
11;0:03:28.610552;9080.866959316465;0.99
12;0:02:52.429285;9662.610277754065;0.989
13;0:02:53.083716;9640.707429116475;0.988
14;0:02:29.222510;9643.62332300128;0.987
15;0:02:57.090148;9141.334688513929;0.986
16;0:03:11.823501;8690.341009368009;0.985
17;0:02:54.136416;9449.42778133236;0.984
18;0:02:32.009552;9306.88190935306;0.983
19;0:02:52.038329;8792.074658547532;0.982
20;0:03:02.502578;9923.650431379669;0.981
21;0:02:13.831299;8620.90434150633;0.98
22;0:02:39.283200;10107.3670364539;0.979
23;0:02:44.116513;8820.230497781384;0.978
24;0:03:22.101713;9232.341974715493;0.977
25;0:02:55.987464;9126.82433759891;0.976
26;0:02:55.602334;9373.139614489199;0.975
27;0:03:11.836629;8895.977648256303;0.974
28;0:02:46.357637;9161.42418395305;0.973
29;0:02:34.614091;9074.042049315189;0.972
30;0:03:03.890792;9303.970733832526;0.971
31;0:02:43.898034;9015.341443286363;0.97
32;0:02:51.230980;9293.702214944196;0.969
33;0:02:50.932574;8526.316648548463;0.968
34;0:02:50.166625;9301.481344207543;0.967
35;0:03:03.252504;8936.505080563962;0.966
36;0:02:32.024218;9180.783634398984;0.965
37;0:02:52.877677;9904.945541029998;0.964
38;0:03:05.354904;9127.455396378036;0.963
39;0:02:32.341711;10086.858731537171;0.962
40;0:02:53.710571;9400.13486548526;0.961
41;0:02:45.563304;9872.739451020814;0.96
42;0:03:21.976618;8442.338671253285;0.959
43;0:02:52.946540;8753.978312509795;0.958
44;0:03:10.081401;9220.326920076004;0.957
45;0:02:52.554380;9312.042495376547;0.956
46;0:02:27.752409;9333.726516075416;0.955
47;0:02:34.826168;9436.0685962145;0.954
48;0:03:13.986197;9260.459523915582;0.953
49;0:02:43.422264;9088.692907412493;0.952
50;0:03:20.486463;8878.98702317645;0.951
51;0:02:15.190444;10058.959791307543;0.95
52;0:02:15.725791;9239.080931333714;0.949
53;0:02:53.465288;9499.698036235763;0.948
54;0:03:16.106541;9563.786017074925;0.947
55;0:02:42.990424;9115.015458119411;0.946
56;0:02:55.181201;9644.32733443206;0.945
57;0:03:41.094741;9049.230875418134;0.944
58;0:02:43.724717;8971.715559321392;0.943
59;0:03:11.835056;9345.912049852188;0.942
60;0:02:31.861295;9455.699284926439;0.941
61;0:02:39.283581;9666.29676236835;0.94
62;0:03:10.444159;9098.002299029984;0.939
63;0:02:27.878821;9061.869190111569;0.938
64;0:02:54.524335;9718.075003683889;0.9369999999999999
65;0:02:56.503369;9128.404984592911;0.9359999999999999
66;0:02:21.999854;9065.714746452219;0.9349999999999999
67;0:03:04.946478;9222.118335850211;0.9339999999999999
68;0:02:39.266364;8500.039816265506;0.9329999999999999
69;0:02:37.496252;9491.551007911361;0.9319999999999999
70;0:03:00.257465;9232.036878481027;0.9309999999999999
71;0:02:20.559727;9166.64876132894;0.9299999999999999
72;0:02:43.448783;9942.106715066575;0.9289999999999999
73;0:03:20.257835;9836.61154825771;0.9279999999999999
74;0:02:55.298163;9372.440755859;0.9269999999999999
75;0:03:25.116623;9190.35591495218;0.9259999999999999
76;0:02:30.397939;8791.549907643555;0.9249999999999999
77;0:03:06.668399;9369.834529679698;0.9239999999999999
78;0:03:15.552100;9072.081783799698;0.9229999999999999
79;0:02:40.441410;8948.806082737356;0.9219999999999999
80;0:02:46.642850;10240.039511626273;0.9209999999999999
81;0:02:56.762426;9229.859671568833;0.9199999999999999
82;0:02:51.847407;8985.910731913003;0.9189999999999999
83;0:03:00.832409;9143.077450367555;0.9179999999999999
84;0:03:01.710899;8984.845296771895;0.9169999999999999
85;0:03:05.141367;9456.910244723931;0.9159999999999999
86;0:03:05.102450;9024.622297763746;0.9149999999999999
87;0:02:35.240113;9271.981002624996;0.9139999999999999
88;0:02:44.891018;9199.48663685619;0.9129999999999999
89;0:02:33.943658;8477.297750535312;0.9119999999999999
90;0:02:39.859145;9495.298501682253;0.9109999999999999
91;0:02:44.370173;9582.564505909531;0.9099999999999999
92;0:03:13.954754;9277.642071622746;0.9089999999999999
93;0:02:35.986271;9416.504809883552;0.9079999999999999
94;0:03:06.899077;9175.668523093058;0.9069999999999999
95;0:03:06.248336;9096.21852205276;0.9059999999999999
96;0:02:30.205361;8739.397986085729;0.9049999999999999
97;0:02:34.401431;9625.481628804282;0.9039999999999999
98;0:02:20.895593;10457.16271225125;0.9029999999999999
99;0:02:57.258003;10380.062967460251;0.9019999999999999
100;0:02:37.950942;9416.221631336155;0.9009999999999999
101;0:02:36.831743;9135.821498359282;0.8999999999999999
102;0:02:33.163553;9486.251875312206;0.8989999999999999
103;0:02:18.079147;9038.630451886878;0.8979999999999999
104;0:02:16.450323;9157.642084922547;0.8969999999999999
105;0:02:41.616040;10412.420335905455;0.8959999999999999
106;0:02:28.167827;10117.140305009665;0.8949999999999999
107;0:02:25.958931;10214.329217373648;0.8939999999999999
108;0:03:29.264297;9592.07774064904;0.8929999999999999
109;0:02:36.976684;9170.579184692608;0.8919999999999999
110;0:02:47.859517;9586.314272023696;0.8909999999999999
