Episode;Duration;Value;Epsilon
1;0:02:56.058548;8934.292843083016;1.0
2;0:03:15.790392;9401.062068038682;0.999
3;0:02:29.015098;9741.452325249105;0.998
4;0:02:27.617649;9223.120311675113;0.997
5;0:02:46.319296;9501.543850969596;0.996
6;0:02:40.142808;9163.588676774078;0.995
7;0:02:53.221351;9606.475608310624;0.994
8;0:02:53.407094;9861.216167342242;0.993
9;0:02:45.878959;9829.461286976713;0.992
10;0:02:51.187602;8668.694636812785;0.991
11;0:02:44.154636;8902.73415928185;0.99
12;0:02:43.341429;9402.04931482738;0.989
13;0:02:26.391222;9243.541141385958;0.988
14;0:02:46.267912;9162.847789581141;0.987
15;0:02:47.597360;9331.990169720588;0.986
16;0:02:48.772517;9822.263470999413;0.985
17;0:03:00.894411;9807.584667062938;0.984
18;0:03:40.217070;9792.630431782782;0.983
19;0:02:55.837159;9511.983876353388;0.982
20;0:02:40.293293;9572.647521969884;0.981
21;0:02:34.645711;9595.323219888442;0.98
22;0:03:25.078365;10220.211197287661;0.979
23;0:02:21.213591;9356.582006045313;0.978
24;0:02:04.338479;10060.772313489555;0.977
25;0:02:46.955393;9143.316189574787;0.976
26;0:03:01.050532;9988.113991055525;0.975
27;0:02:29.736105;9130.601351176947;0.974
28;0:03:01.912473;9637.837572289554;0.973
29;0:02:52.870750;8674.517853903937;0.972
30;0:02:51.433806;9933.538742445637;0.971
31;0:02:36.200636;10096.50509312943;0.97
32;0:02:41.333758;9889.45337269773;0.969
33;0:02:23.104147;10100.862697675377;0.968
34;0:02:33.563453;9881.738397642452;0.967
35;0:02:52.998159;9913.009940708838;0.966
36;0:02:44.163776;9574.386868512222;0.965
37;0:02:29.494476;9632.151267426707;0.964
38;0:03:01.068614;9480.807636916088;0.963
39;0:02:43.235960;9542.29814551884;0.962
40;0:03:30.558744;9152.842477637316;0.961
41;0:02:53.280218;9480.087786058728;0.96
42;0:02:00.358651;9919.226441774304;0.959
43;0:02:41.079680;9225.385553639173;0.958
44;0:02:49.677517;10156.493213675709;0.957
45;0:02:49.382852;9842.119149974871;0.956
46;0:03:03.829379;9424.880485926997;0.955
47;0:03:21.839824;9372.79979136023;0.954
48;0:02:57.079979;8828.275611453228;0.953
49;0:03:04.061565;10220.19865772566;0.952
50;0:02:33.475280;8936.324306713695;0.951
51;0:02:54.133219;11016.348897394975;0.95
52;0:02:15.374908;9284.927869300369;0.949
53;0:02:31.442523;9182.645206322473;0.948
54;0:03:04.063313;10205.751184319875;0.947
55;0:02:58.810411;9534.082855970313;0.946
