Episode;Duration;Value;Epsilon
1;0:02:14.723017;9235.563140851447;1.0
2;0:02:37.786217;8347.174198955774;0.999
3;0:02:18.856578;9090.610158380587;0.998
4;0:02:34.029868;9004.86500615815;0.997
5;0:02:32.145345;9095.222924760565;0.996
6;0:02:44.466224;8997.184256533015;0.995
7;0:02:58.573831;8888.170450803855;0.994
8;0:01:50.685431;8652.325175013984;0.993
9;0:02:25.823715;9554.993068769481;0.992
10;0:02:39.568867;10076.77087300595;0.991
11;0:02:29.245816;9262.803057753565;0.99
12;0:02:19.480790;8581.675858413551;0.989
13;0:02:34.856060;9213.95750848952;0.988
14;0:02:14.440247;10001.976416733132;0.987
15;0:02:23.669081;9940.813638183203;0.986
16;0:02:33.846846;9226.540116818123;0.985
17;0:02:16.618377;8894.810211165;0.984
18;0:02:32.552855;9293.731897002208;0.983
19;0:02:34.947864;8918.098378961196;0.982
20;0:02:35.499043;9312.863420581109;0.981
21;0:02:20.932602;9654.950819686372;0.98
22;0:02:50.011504;9193.873986839213;0.979
23;0:02:06.186002;10091.374921315199;0.978
24;0:02:36.503138;9419.353730869594;0.977
25;0:02:51.663874;9084.97938135911;0.976
26;0:02:28.538406;9022.923599568989;0.975
27;0:03:04.610574;8950.751059165586;0.974
28;0:02:30.493752;9614.073796038312;0.973
29;0:02:29.336899;8996.256410767211;0.972
30;0:02:33.276854;9390.985894323425;0.971
31;0:02:24.721545;9751.850430532844;0.97
32;0:02:36.167560;9512.860623954342;0.969
33;0:02:58.696574;8989.671496636229;0.968
34;0:01:48.304517;9187.360507804597;0.967
35;0:02:18.876841;9904.887614270825;0.966
36;0:02:44.829342;9302.090218154037;0.965
37;0:02:22.030131;9337.05772962069;0.964
38;0:02:54.429077;9913.17979681188;0.963
39;0:02:21.158166;8926.633252095378;0.962
40;0:02:16.324898;9200.3126670198;0.961
41;0:02:37.999216;9140.755011582567;0.96
42;0:02:57.908667;8653.577233104743;0.959
43;0:02:01.643206;9418.765054774607;0.958
44;0:02:35.809625;9643.026917952388;0.957
45;0:02:16.079337;9683.928532415224;0.956
46;0:02:42.812180;9358.141707355742;0.955
47;0:02:47.319827;10040.722445378282;0.954
48;0:02:27.857506;9333.869972874583;0.953
49;0:02:27.679734;9528.249348033169;0.952
50;0:02:15.462272;9315.434802320216;0.951
51;0:02:35.345898;9937.615884215098;0.95
52;0:02:33.614681;9348.900981309731;0.949
53;0:02:35.473019;9484.32358853391;0.948
54;0:02:11.413969;10029.126891441285;0.947
55;0:02:22.111729;9828.464581800908;0.946
56;0:03:15.224930;9926.48528021017;0.945
57;0:02:42.960080;9684.586931136047;0.944
58;0:02:50.283215;9931.896648239395;0.943
59;0:02:15.187931;9779.290287499969;0.942
60;0:02:30.030267;10015.814329309278;0.941
61;0:02:31.808675;9982.975954033138;0.94
62;0:02:48.750298;9691.661379772784;0.939
63;0:02:20.685283;9324.374226661317;0.938
64;0:02:39.624935;9783.234365312892;0.9369999999999999
65;0:02:52.156588;9060.856238036456;0.9359999999999999
66;0:02:22.689886;9758.185632042001;0.9349999999999999
67;0:02:20.919160;9683.871972993373;0.9339999999999999
68;0:02:22.610724;10257.263122288885;0.9329999999999999
69;0:02:42.493331;9844.376717598765;0.9319999999999999
70;0:02:15.049257;9425.948510562084;0.9309999999999999
71;0:02:39.999124;9601.629394374324;0.9299999999999999
72;0:02:42.627441;9774.229000109523;0.9289999999999999
73;0:02:23.701789;9490.929030509495;0.9279999999999999
74;0:02:06.172253;9768.90150893115;0.9269999999999999
75;0:02:20.815986;9495.682964910658;0.9259999999999999
76;0:02:46.799028;9553.820363327823;0.9249999999999999
77;0:02:22.916856;10195.390761976552;0.9239999999999999
78;0:02:17.898054;10380.413014530543;0.9229999999999999
79;0:02:35.622509;9730.883262407646;0.9219999999999999
80;0:02:05.148618;9515.899423074563;0.9209999999999999
81;0:02:58.006643;9969.41663238848;0.9199999999999999
82;0:02:35.789621;9610.987838562149;0.9189999999999999
83;0:02:32.372951;9523.49318655581;0.9179999999999999
84;0:02:26.948203;10422.059002274873;0.9169999999999999
85;0:02:47.488834;9881.069123639401;0.9159999999999999
86;0:02:28.384933;9988.943657614655;0.9149999999999999
87;0:02:46.935989;10003.665882825318;0.9139999999999999
88;0:01:55.257009;9835.003166623987;0.9129999999999999
89;0:02:39.497050;9764.069568157925;0.9119999999999999
