Episode;Duration;Value;Epsilon
1;0:02:48.564374;10005.291763890351;1.0
2;0:01:44.852914;10041.975509278882;0.999
3;0:02:04.452530;10134.733630668494;0.998
4;0:02:22.156696;9245.761248375247;0.997
5;0:01:58.064130;9684.719089836395;0.996
6;0:02:23.185834;10689.66995582754;0.995
7;0:02:01.483250;9763.95026334159;0.994
8;0:02:30.127600;9708.493182009752;0.993
9;0:02:51.276045;9857.98891385344;0.992
10;0:02:10.132289;9243.65437236013;0.991
11;0:02:38.990778;9753.625610116487;0.99
12;0:02:21.526141;9866.643231079406;0.989
13;0:02:19.268262;10327.633512934737;0.988
14;0:02:24.219510;9497.840881286113;0.987
15;0:01:58.391132;9682.282499730816;0.986
16;0:01:57.648394;9891.356287005312;0.985
17;0:02:21.313003;10268.736905420914;0.984
18;0:02:21.690522;9393.147913955532;0.983
19;0:02:28.182009;9297.080813467564;0.982
20;0:02:30.004040;9690.786343424252;0.981
21;0:02:27.500743;10150.362025723409;0.98
22;0:01:51.711622;9565.666637920065;0.979
23;0:02:15.459581;9510.137465148808;0.978
24;0:02:07.379535;9350.50764078272;0.977
25;0:02:51.568297;9710.657034515847;0.976
26;0:02:05.106205;9984.974672551107;0.975
27;0:02:09.203140;10143.697891799897;0.974
28;0:02:31.249853;10146.662964248277;0.973
29;0:02:32.648924;10519.17840056915;0.972
30;0:02:59.779796;8718.297716091522;0.971
31;0:02:11.251981;10132.355451895648;0.97
32;0:02:30.909313;9771.02749321706;0.969
33;0:01:59.554837;9820.974367077082;0.968
34;0:02:08.295430;9228.416672129439;0.967
35;0:02:32.579880;9701.214936589842;0.966
36;0:02:22.485744;10046.851881640918;0.965
37;0:02:14.050860;10028.966864410342;0.964
38;0:02:50.219270;10917.627049352364;0.963
39;0:02:41.677332;10773.944890000306;0.962
40;0:02:38.317864;9336.176702005056;0.961
41;0:02:30.557709;9186.687905576515;0.96
42;0:02:26.705622;9558.542072865337;0.959
43;0:02:52.918295;9730.42189932117;0.958
44;0:02:26.919228;10287.272346305022;0.957
45;0:02:29.968865;9856.922292600404;0.956
46;0:02:26.502801;9128.85228395762;0.955
47;0:02:26.473005;10268.883089273657;0.954
