Episode;Duration;Value;Epsilon
1;0:02:24.744570;8691.563904999513;1.0
2;0:02:04.746356;9385.751130694827;0.999
3;0:02:30.079845;8970.538155359707;0.998
4;0:02:23.176093;9617.84213928636;0.997
5;0:02:17.238442;9219.619180927792;0.996
6;0:02:16.413129;9119.380242883673;0.995
7;0:02:45.345341;8908.260072534065;0.994
8;0:02:17.608739;9099.52493907521;0.993
9;0:02:24.387518;9223.866716567194;0.992
10;0:02:44.043602;9171.117503300893;0.991
11;0:02:36.819920;9985.353711919312;0.99
12;0:02:18.862084;9013.380613154597;0.989
13;0:02:25.789334;9206.28937131626;0.988
14;0:02:36.783363;9786.715779514836;0.987
15;0:03:10.343871;9170.382799736726;0.986
16;0:02:36.256817;9408.70342076006;0.985
17;0:02:34.010839;8755.057190970529;0.984
18;0:02:19.322844;9001.584121091399;0.983
19;0:01:55.961684;8899.596547806052;0.982
20;0:02:47.165245;9183.607227240185;0.981
21;0:02:25.674300;8881.248793631285;0.98
22;0:02:11.815760;9462.560650147136;0.979
23;0:02:13.680540;9386.369371580628;0.978
24;0:02:17.173873;9818.449154956148;0.977
25;0:03:19.111881;9117.224734480606;0.976
26;0:02:16.314472;9475.132282559329;0.975
27;0:02:48.032669;9075.575640327086;0.974
28;0:02:30.318641;10099.892626563891;0.973
29;0:02:12.889949;9507.827744030588;0.972
30;0:02:25.277896;9365.588731297343;0.971
31;0:02:26.221749;9064.456514987181;0.97
32;0:02:31.470766;9686.720577555096;0.969
33;0:02:12.621656;9109.480072592936;0.968
34;0:02:36.623212;9514.546037541444;0.967
35;0:02:30.427508;9606.232224651474;0.966
36;0:02:14.648825;9865.496350481093;0.965
37;0:02:11.905191;9457.053989536242;0.964
38;0:02:36.671276;9059.019675535701;0.963
39;0:02:18.827923;9741.321210121985;0.962
40;0:02:30.864687;9141.325524955384;0.961
41;0:02:09.911661;10046.570146382408;0.96
42;0:02:21.833106;8933.557473373989;0.959
43;0:02:15.230153;8961.010812905803;0.958
44;0:02:23.535604;9002.738431744694;0.957
45;0:02:28.447716;10536.174316708994;0.956
46;0:02:16.449082;9158.666208443175;0.955
47;0:02:34.970480;9430.92699500147;0.954
48;0:02:12.978151;8342.085758658664;0.953
49;0:02:46.091650;10125.667237756596;0.952
50;0:02:24.620371;9424.77149340221;0.951
51;0:02:43.856988;8871.249614018045;0.95
52;0:02:09.206861;9325.068172549674;0.949
53;0:02:36.168269;9705.171692205318;0.948
54;0:02:11.589105;9592.2940329015;0.947
55;0:02:30.944679;8844.248402531133;0.946
56;0:02:30.997489;9843.321547286205;0.945
57;0:02:13.481660;9325.902435166512;0.944
58;0:02:43.628000;8666.424745752287;0.943
59;0:01:59.639646;8959.623542271846;0.942
60;0:02:14.584806;9504.77927813459;0.941
61;0:01:52.584031;9160.900809828954;0.94
62;0:02:13.825755;9116.67031774498;0.939
63;0:02:38.357115;8967.215213148776;0.938
64;0:02:04.455606;9967.30797720562;0.9369999999999999
65;0:02:10.709066;9251.068971974539;0.9359999999999999
66;0:02:12.433213;10085.599839331;0.9349999999999999
67;0:01:43.154039;9458.145872882347;0.9339999999999999
68;0:02:36.317753;9895.302905248744;0.9329999999999999
69;0:02:09.657309;9300.143212770125;0.9319999999999999
70;0:01:49.093608;10369.515112878957;0.9309999999999999
71;0:02:14.977188;9687.719286299958;0.9299999999999999
72;0:02:32.666353;9248.582860199302;0.9289999999999999
73;0:02:16.850095;10473.891101643972;0.9279999999999999
74;0:02:55.263555;10114.778330817202;0.9269999999999999
75;0:02:13.917318;10070.267065552123;0.9259999999999999
76;0:02:15.557974;9898.21167702388;0.9249999999999999
77;0:02:03.570351;9530.73064214886;0.9239999999999999
78;0:02:15.432386;9390.751753515187;0.9229999999999999
79;0:02:25.082534;9660.237351729873;0.9219999999999999
80;0:02:27.488943;9164.557663716385;0.9209999999999999
81;0:02:28.344458;9180.923348451475;0.9199999999999999
82;0:02:34.402978;9193.201818565936;0.9189999999999999
83;0:02:05.618085;9359.939177449634;0.9179999999999999
84;0:02:38.350274;10104.554075670727;0.9169999999999999
85;0:02:03.200318;9596.040376597919;0.9159999999999999
86;0:02:50.016490;9404.749170986295;0.9149999999999999
87;0:02:21.287233;8968.046244328196;0.9139999999999999
88;0:01:50.106017;9190.252447637895;0.9129999999999999
89;0:02:37.901214;9095.572253445453;0.9119999999999999
90;0:02:05.252301;10089.851695647294;0.9109999999999999
91;0:02:28.001950;9020.424891964298;0.9099999999999999
92;0:02:30.383678;9864.050465305758;0.9089999999999999
93;0:02:06.872965;8596.59212411811;0.9079999999999999
94;0:02:00.270509;10002.513710213443;0.9069999999999999
95;0:02:01.880198;9226.435487935365;0.9059999999999999
96;0:02:36.306500;9508.524424794474;0.9049999999999999
97;0:02:42.718964;9641.992032671855;0.9039999999999999
98;0:02:31.948459;9381.694111649727;0.9029999999999999
99;0:01:58.937953;8716.927809720817;0.9019999999999999
100;0:02:08.064443;9695.119904467296;0.9009999999999999
101;0:02:25.035487;8779.830410309982;0.8999999999999999
102;0:02:25.329278;9888.849956070786;0.8989999999999999
103;0:02:33.828781;10063.96217555102;0.8979999999999999
104;0:02:49.637572;9554.703164209703;0.8969999999999999
105;0:02:07.111158;9752.66984657832;0.8959999999999999
106;0:02:06.166564;8904.973742247737;0.8949999999999999
107;0:02:03.481030;10126.054345044364;0.8939999999999999
108;0:02:27.051991;8980.708367115156;0.8929999999999999
109;0:02:18.611778;9489.26944503014;0.8919999999999999
110;0:01:53.591223;8555.547038186032;0.8909999999999999
111;0:02:28.314020;9841.165327473473;0.8899999999999999
112;0:02:33.469335;9572.400372278258;0.8889999999999999
113;0:02:08.231469;9391.228008140548;0.8879999999999999
114;0:02:17.933535;9544.458934390485;0.8869999999999999
115;0:02:04.198905;9476.082291821534;0.8859999999999999
116;0:02:30.801516;9938.591352366799;0.8849999999999999
117;0:02:33.678647;8828.331012302779;0.8839999999999999
118;0:02:35.347778;9529.862244387175;0.8829999999999999
119;0:02:11.366010;9682.064486375604;0.8819999999999999
120;0:02:00.762643;9288.554673315019;0.8809999999999999
121;0:02:25.705446;9486.428989193868;0.8799999999999999
122;0:02:08.025557;9705.061845445496;0.8789999999999999
123;0:01:51.916091;9222.903405795236;0.8779999999999999
124;0:01:48.448699;9072.822512795889;0.8769999999999999
125;0:02:44.288592;9483.851511043513;0.8759999999999999
126;0:02:06.756432;9897.395786797362;0.8749999999999999
127;0:01:54.148828;10890.713718531608;0.8739999999999999
128;0:02:30.018727;9516.897921615551;0.8729999999999999
129;0:01:44.758559;9623.066736536508;0.8719999999999999
130;0:01:54.476058;9807.57755205077;0.8709999999999999
131;0:02:36.609466;9140.717401242568;0.8699999999999999
132;0:02:08.387987;10536.214637503055;0.8689999999999999
133;0:02:06.057291;10024.538860674826;0.8679999999999999
134;0:02:41.440688;9365.359568158485;0.8669999999999999
135;0:02:02.535708;9557.078099366721;0.8659999999999999
136;0:02:06.336678;9018.415513864811;0.8649999999999999
137;0:02:07.731551;9566.458321546144;0.8639999999999999
