Episode;Duration;Value;Epsilon
1;0:02:19.537227;8756.906088752583;1.0
2;0:02:29.127869;9312.194523186465;0.999
3;0:02:56.172611;9290.06353738674;0.998
4;0:02:17.359092;8806.391095119465;0.997
5;0:02:54.150799;8859.017630235723;0.996
6;0:03:05.573653;9205.005242002031;0.995
7;0:02:33.058613;8464.623943912444;0.994
8;0:02:57.719654;9432.395639080229;0.993
9;0:02:14.824745;8975.26339265967;0.992
10;0:02:38.122283;9538.899424698724;0.991
11;0:02:30.957269;8611.471966105131;0.99
12;0:02:37.123739;9512.410985179187;0.989
13;0:01:54.993615;9596.11912351649;0.988
14;0:02:59.218045;9641.532461930437;0.987
15;0:03:08.928043;8736.10888422399;0.986
16;0:02:32.605319;9320.456489589918;0.985
17;0:02:47.053940;9640.035021387053;0.984
18;0:02:44.814063;9401.491705037912;0.983
19;0:02:36.716122;8771.772863882274;0.982
20;0:02:30.691150;9608.899240692135;0.981
21;0:02:57.199014;9888.140678152418;0.98
22;0:02:02.665519;8953.710008878312;0.979
23;0:02:14.303543;8841.625136292827;0.978
24;0:02:21.089731;9616.126598074266;0.977
25;0:02:16.832053;9158.641761743316;0.976
26;0:02:57.741518;9460.071168158041;0.975
27;0:02:14.795176;9634.566585162727;0.974
28;0:02:03.762719;9571.211361746826;0.973
29;0:03:00.954958;9732.680137868665;0.972
30;0:02:29.906273;9174.942511512103;0.971
31;0:02:17.676366;8917.590919233473;0.97
32;0:02:19.984023;9518.43927901015;0.969
33;0:02:25.366400;9221.82963360363;0.968
34;0:02:22.510401;9423.407844437752;0.967
35;0:02:01.738608;9835.35265205689;0.966
36;0:02:20.488933;9118.65591076542;0.965
37;0:02:39.290313;9036.961904206153;0.964
38;0:02:35.197076;9515.10024300623;0.963
39;0:02:39.040431;9730.553954233146;0.962
40;0:02:02.487726;9281.160251301422;0.961
41;0:02:02.265271;9157.138004538028;0.96
42;0:02:11.274771;9396.252312428023;0.959
43;0:02:06.032755;9121.51018585584;0.958
44;0:02:57.473891;9477.454079295756;0.957
45;0:02:07.971685;9562.306068998216;0.956
46;0:02:17.794967;9866.346337855051;0.955
47;0:02:02.746930;8975.874969176119;0.954
48;0:02:46.554366;9290.632298933808;0.953
49;0:02:01.782207;9116.53886690606;0.952
50;0:02:16.510345;9354.009668345072;0.951
51;0:02:25.670396;9337.306534552281;0.95
52;0:02:23.179870;9589.800349298743;0.949
53;0:02:24.098366;10553.64347877592;0.948
54;0:02:03.200175;9921.651279238262;0.947
55;0:02:29.219060;9084.843030069043;0.946
56;0:02:14.478230;9462.444390106724;0.945
57;0:02:09.291297;8870.64236174457;0.944
58;0:02:40.250692;9555.472167840291;0.943
59;0:02:30.379549;9418.106547602785;0.942
60;0:03:09.912503;9834.190188380953;0.941
61;0:02:44.220049;9414.357732384964;0.94
62;0:01:39.979302;9204.355445950425;0.939
63;0:02:26.971979;9792.067682659903;0.938
64;0:02:33.873220;9088.590378028384;0.9369999999999999
65;0:02:15.494082;9404.174338356237;0.9359999999999999
66;0:02:54.390644;9289.150281631279;0.9349999999999999
67;0:02:50.429730;9481.976523175486;0.9339999999999999
68;0:02:35.614126;8455.918291417458;0.9329999999999999
69;0:02:33.603881;9857.25929557987;0.9319999999999999
70;0:02:00.630443;9460.778688024628;0.9309999999999999
71;0:02:36.535268;8956.84486207216;0.9299999999999999
72;0:02:10.596840;9366.64280706907;0.9289999999999999
73;0:02:33.709353;9484.804788553167;0.9279999999999999
74;0:02:29.063596;9103.846119290796;0.9269999999999999
75;0:02:16.013423;9116.483298936682;0.9259999999999999
76;0:02:54.492705;9474.209632299855;0.9249999999999999
77;0:01:59.638672;9604.992199654482;0.9239999999999999
78;0:02:40.044718;9887.236335935831;0.9229999999999999
79;0:02:09.186114;9786.24781195906;0.9219999999999999
80;0:02:12.833628;9691.7454795454;0.9209999999999999
81;0:02:42.661113;9857.081418984428;0.9199999999999999
82;0:02:17.425934;9509.0397346276;0.9189999999999999
83;0:02:16.923780;9731.760511748329;0.9179999999999999
84;0:02:42.888387;9414.809898580028;0.9169999999999999
85;0:02:49.089779;9605.214227784229;0.9159999999999999
86;0:02:17.970818;9337.0142552918;0.9149999999999999
87;0:02:14.495163;9547.267212954426;0.9139999999999999
88;0:02:11.836446;10006.715205633063;0.9129999999999999
89;0:02:46.099803;9611.649529229036;0.9119999999999999
90;0:01:58.815041;9036.72464841303;0.9109999999999999
91;0:02:39.250312;10665.145706245969;0.9099999999999999
