Episode;Duration;Value;Epsilon
1;0:02:46.511037;9143.770107555149;1.0
2;0:02:12.650609;9173.741952072429;0.999
3;0:02:30.638636;9529.57868074361;0.998
4;0:02:21.263870;8962.500262853175;0.997
5;0:02:07.280256;9335.668270480035;0.996
6;0:02:52.536380;9858.072551013745;0.995
7;0:02:25.966684;9333.965418352544;0.994
8;0:02:33.476638;10111.87575028037;0.993
9;0:02:43.311017;9514.821035431707;0.992
10;0:02:00.986136;9447.73188221182;0.991
11;0:02:33.207425;9535.735145693292;0.99
12;0:02:54.354050;9459.966203240367;0.989
13;0:02:36.370413;9080.35458748195;0.988
14;0:02:36.760821;9765.047893925228;0.987
15;0:02:45.068144;9443.28354980998;0.986
16;0:02:11.514055;9089.623666588663;0.985
17;0:02:21.737920;9209.570002974348;0.984
18;0:03:04.342791;10139.918390023477;0.983
19;0:02:15.678426;10198.30100744134;0.982
20;0:02:31.379007;9960.379476139895;0.981
21;0:02:17.204850;8918.873573642233;0.98
22;0:02:47.851001;9071.51321764665;0.979
23;0:03:03.666660;9131.077748710832;0.978
24;0:02:18.847561;9481.975141082637;0.977
25;0:02:17.079296;8451.826215080857;0.976
26;0:02:24.569426;9782.003886204322;0.975
27;0:01:57.612846;9515.546861887551;0.974
28;0:02:52.363102;9215.19825906171;0.973
29;0:02:31.467462;9074.3546339566;0.972
30;0:02:28.344114;9439.430366758548;0.971
31;0:02:30.970224;9376.61275581263;0.97
32;0:02:40.927868;9229.565858796928;0.969
33;0:02:29.221288;9270.738710580754;0.968
34;0:02:20.254860;9720.220616472834;0.967
35;0:02:15.139229;8905.440269403241;0.966
36;0:02:54.309228;9198.029767339178;0.965
37;0:03:02.233000;9762.551414221014;0.964
38;0:02:01.249364;9495.019849130807;0.963
39;0:02:24.215225;9689.192483321203;0.962
40;0:02:09.539412;8845.952208344184;0.961
41;0:02:54.890575;9522.357434476658;0.96
42;0:02:49.473372;10091.131049238558;0.959
43;0:02:34.184368;8772.155242669305;0.958
44;0:02:31.520552;9630.241933409136;0.957
45;0:02:43.605540;8868.817642134254;0.956
46;0:03:07.594549;10326.163749398136;0.955
47;0:02:37.273545;9973.230662907537;0.954
48;0:02:08.875603;10336.777141127191;0.953
49;0:02:42.046045;9420.444750014281;0.952
50;0:02:44.015726;10009.227767171036;0.951
51;0:02:55.455040;9598.601189882964;0.95
52;0:02:12.701344;9544.184330193004;0.949
53;0:02:10.865733;10035.126483675698;0.948
54;0:02:36.220128;9342.720491877428;0.947
55;0:02:24.817759;10152.851581478779;0.946
56;0:02:24.039987;9097.4347497094;0.945
57;0:02:27.560313;10290.968579205366;0.944
58;0:02:03.120443;9403.938801276363;0.943
59;0:02:20.877219;9547.196706666358;0.942
60;0:02:10.108880;9775.741619449884;0.941
61;0:02:27.782278;9597.380720167754;0.94
62;0:02:23.171725;10079.548393721572;0.939
63;0:02:18.846124;10874.597559631427;0.938
64;0:03:06.825512;10093.870291536208;0.9369999999999999
65;0:02:14.378047;9241.1572129813;0.9359999999999999
66;0:02:02.845337;9971.01205592103;0.9349999999999999
67;0:02:22.345196;9370.57935267483;0.9339999999999999
68;0:02:21.802857;10082.278088305828;0.9329999999999999
69;0:02:30.078462;9568.277219596588;0.9319999999999999
70;0:02:07.306800;9472.010699863382;0.9309999999999999
71;0:02:24.567736;9827.778664408605;0.9299999999999999
72;0:02:31.830809;9249.599192446827;0.9289999999999999
73;0:02:18.250904;10093.925626348811;0.9279999999999999
74;0:02:27.199274;10530.127520568705;0.9269999999999999
75;0:02:15.634516;9484.261612323371;0.9259999999999999
76;0:02:32.582312;10106.530155065448;0.9249999999999999
77;0:01:38.065293;9960.308599512013;0.9239999999999999
78;0:02:55.947248;9134.453088117716;0.9229999999999999
79;0:02:39.683773;10812.37330298135;0.9219999999999999
80;0:02:30.550214;9636.23377106319;0.9209999999999999
81;0:02:03.071918;8785.00326768503;0.9199999999999999
82;0:02:44.237092;9282.627958694517;0.9189999999999999
83;0:02:44.130380;9823.230383996817;0.9179999999999999
84;0:02:26.315189;9471.271789164368;0.9169999999999999
85;0:01:52.846828;9679.699816895441;0.9159999999999999
86;0:02:25.947020;9919.750302178014;0.9149999999999999
87;0:02:42.925856;9597.244291167059;0.9139999999999999
88;0:02:21.793645;9693.580779158181;0.9129999999999999
89;0:01:55.482289;10828.16680863323;0.9119999999999999
90;0:02:19.245502;9753.069841407527;0.9109999999999999
91;0:02:46.754713;9704.935103980513;0.9099999999999999
92;0:02:21.780336;10523.29906402956;0.9089999999999999
93;0:02:11.978752;9362.987685648728;0.9079999999999999
94;0:02:52.762784;9547.153007046789;0.9069999999999999
95;0:02:23.966612;9436.766114156473;0.9059999999999999
96;0:02:49.107691;9910.128973969468;0.9049999999999999
97;0:02:44.898983;9424.62212671283;0.9039999999999999
98;0:02:46.767181;9717.633423467978;0.9029999999999999
99;0:02:26.672961;9530.699034873285;0.9019999999999999
100;0:01:48.838822;10132.08848913753;0.9009999999999999
101;0:02:13.865027;9395.413147313826;0.8999999999999999
102;0:02:14.866408;10346.491558688713;0.8989999999999999
103;0:01:56.153360;9771.652766419733;0.8979999999999999
104;0:02:53.239267;9913.870891541366;0.8969999999999999
105;0:01:55.883640;9396.552467423544;0.8959999999999999
106;0:03:02.051544;9593.651512678673;0.8949999999999999
107;0:02:03.886507;10329.22478370868;0.8939999999999999
108;0:01:39.171099;11233.282079947276;0.8929999999999999
109;0:02:43.483582;10092.24201992065;0.8919999999999999
110;0:02:36.350274;9917.475238134712;0.8909999999999999
111;0:02:27.006451;10014.369295239583;0.8899999999999999
112;0:02:31.948167;10380.12046853593;0.8889999999999999
113;0:02:12.957597;10005.666823458572;0.8879999999999999
114;0:02:04.685889;9984.288011381694;0.8869999999999999
115;0:02:55.464347;9865.192371928302;0.8859999999999999
116;0:02:26.162876;10467.00283006372;0.8849999999999999
117;0:02:42.435518;10325.3743100612;0.8839999999999999
118;0:02:22.109237;9819.653744698287;0.8829999999999999
119;0:01:45.446453;9960.832462401519;0.8819999999999999
120;0:01:52.286762;10208.502134508155;0.8809999999999999
121;0:02:18.771232;10228.930644532411;0.8799999999999999
122;0:02:25.923949;9662.389333574785;0.8789999999999999
123;0:02:11.873332;9452.374325949395;0.8779999999999999
124;0:02:15.488799;10024.908772772449;0.8769999999999999
125;0:02:59.484147;9590.954562753106;0.8759999999999999
126;0:02:17.039098;10037.018179015395;0.8749999999999999
127;0:02:46.125169;10069.740138693795;0.8739999999999999
128;0:02:12.180254;10361.655644720615;0.8729999999999999
129;0:01:55.218615;10058.135936457238;0.8719999999999999
130;0:02:29.473664;10794.977123070636;0.8709999999999999
131;0:01:49.711702;9971.466390905858;0.8699999999999999
132;0:02:26.627379;9771.179915400984;0.8689999999999999
133;0:02:23.302122;9987.100709082275;0.8679999999999999
134;0:02:24.896520;10832.297214200653;0.8669999999999999
135;0:02:11.912337;10592.69208515315;0.8659999999999999
136;0:02:02.723080;10505.506870325486;0.8649999999999999
137;0:02:19.684138;10899.8239550727;0.8639999999999999
138;0:02:29.009535;9919.807638547056;0.8629999999999999
139;0:02:31.788346;11309.155486685826;0.8619999999999999
140;0:02:04.814743;9970.777047603262;0.8609999999999999
141;0:02:29.820734;10234.20353375198;0.8599999999999999
142;0:02:22.305086;10829.768017689637;0.8589999999999999
143;0:02:46.842202;10568.391412870302;0.8579999999999999
144;0:02:25.541654;9851.468650393306;0.8569999999999999
145;0:02:35.666775;10131.420150151767;0.8559999999999999
146;0:01:52.223704;9972.808381691399;0.8549999999999999
147;0:02:19.154948;11245.553851730292;0.8539999999999999
148;0:02:21.886858;10856.649628739191;0.8529999999999999
149;0:02:37.733139;9882.361490339445;0.8519999999999999
150;0:02:20.913869;11279.714998550873;0.8509999999999999
151;0:03:09.583033;9859.509183779406;0.8499999999999999
152;0:02:14.959180;9786.927937376124;0.8489999999999999
153;0:02:28.327189;10976.278696273715;0.8479999999999999
154;0:02:26.959060;9398.928125060607;0.8469999999999999
155;0:01:39.896481;11075.092775081164;0.8459999999999999
156;0:01:58.637645;10532.137754623076;0.8449999999999999
157;0:02:26.725274;10718.197617462529;0.8439999999999999
158;0:02:47.670383;9622.832127528949;0.8429999999999999
159;0:01:51.906203;10737.497590285018;0.8419999999999999
160;0:02:21.400191;9782.733330037772;0.8409999999999999
161;0:02:15.914313;10496.615796599055;0.8399999999999999
162;0:02:53.385927;9841.674800678848;0.8389999999999999
163;0:01:52.738123;10907.811470016919;0.8379999999999999
164;0:02:27.259604;10578.206434341004;0.8369999999999999
165;0:02:07.378933;10786.392142860372;0.8359999999999999
166;0:02:29.662320;10958.164407169406;0.8349999999999999
167;0:02:08.466564;9931.703528556074;0.8339999999999999
168;0:02:21.812834;10851.18921920921;0.8329999999999999
169;0:01:53.146056;10902.668431612929;0.8319999999999999
170;0:02:14.388159;10732.611190498637;0.8309999999999998
171;0:02:32.597234;10453.85569876437;0.8299999999999998
172;0:02:11.771202;10414.179658038312;0.8289999999999998
173;0:01:44.816928;10199.796449819098;0.8279999999999998
174;0:02:30.972510;10647.163310337248;0.8269999999999998
175;0:02:17.186397;9720.201312213983;0.8259999999999998
176;0:02:20.890509;10778.555586524608;0.8249999999999998
177;0:02:38.752518;10804.472513932185;0.8239999999999998
178;0:02:19.059487;10486.732356597178;0.8229999999999998
179;0:02:00.889616;10007.664881689852;0.8219999999999998
180;0:02:12.054771;9833.418382033109;0.8209999999999998
181;0:02:32.115819;10230.290316710483;0.8199999999999998
182;0:02:23.103928;11450.293916856564;0.8189999999999998
183;0:02:21.554674;10458.204760284863;0.8179999999999998
184;0:02:10.736369;10116.157858496874;0.8169999999999998
185;0:02:05.749323;10562.058910794964;0.8159999999999998
186;0:01:57.063430;10622.459106717324;0.8149999999999998
187;0:02:38.098735;11739.774983884416;0.8139999999999998
188;0:02:06.026114;9807.56370646461;0.8129999999999998
189;0:02:20.522453;10641.924427867902;0.8119999999999998
190;0:02:14.499674;10987.396506977357;0.8109999999999998
191;0:02:25.280437;10415.347892961803;0.8099999999999998
192;0:02:04.761763;11114.853706156358;0.8089999999999998
193;0:02:15.799397;10197.721083807963;0.8079999999999998
194;0:02:08.995511;10784.31051501504;0.8069999999999998
195;0:02:06.528973;11100.535547627807;0.8059999999999998
196;0:02:05.551902;11564.866434576248;0.8049999999999998
197;0:02:03.934670;10347.725077764291;0.8039999999999998
198;0:01:58.896833;11325.634238428116;0.8029999999999998
199;0:02:27.670749;10744.824325525193;0.8019999999999998
200;0:02:34.834269;9629.620609977135;0.8009999999999998
201;0:02:06.285373;10442.898038279118;0.7999999999999998
202;0:02:46.029010;10589.797893828189;0.7989999999999998
203;0:02:20.638312;10660.49336224139;0.7979999999999998
204;0:02:40.142225;10575.558489560097;0.7969999999999998
205;0:01:50.954306;10313.37087155622;0.7959999999999998
206;0:02:02.513802;10686.356109262775;0.7949999999999998
207;0:02:00.647679;9928.352993538045;0.7939999999999998
208;0:02:18.369997;10961.839956618756;0.7929999999999998
209;0:02:00.680094;10588.361098289386;0.7919999999999998
210;0:01:49.179994;10473.061470773657;0.7909999999999998
211;0:01:38.778189;11447.793023788912;0.7899999999999998
212;0:01:45.247501;11577.988300864146;0.7889999999999998
213;0:02:08.882333;11249.922779748595;0.7879999999999998
214;0:02:35.030704;11041.143320407658;0.7869999999999998
215;0:02:14.365098;11373.859082318153;0.7859999999999998
216;0:01:59.255753;10967.811438156856;0.7849999999999998
217;0:02:14.471353;11217.321751519017;0.7839999999999998
218;0:02:26.462161;11680.81973539355;0.7829999999999998
219;0:02:45.902259;10764.326100549977;0.7819999999999998
220;0:01:59.395961;10572.2483039391;0.7809999999999998
221;0:02:24.126783;11137.77095971565;0.7799999999999998
222;0:01:56.031636;10184.586018787864;0.7789999999999998
223;0:01:56.728408;10891.100580157727;0.7779999999999998
224;0:01:48.604812;10917.411868400035;0.7769999999999998
225;0:01:46.009935;10838.779078990956;0.7759999999999998
226;0:01:57.137731;11318.005986013724;0.7749999999999998
227;0:02:10.383126;11432.476579372542;0.7739999999999998
228;0:02:46.041124;10903.426050565882;0.7729999999999998
229;0:02:09.014026;10256.541020217976;0.7719999999999998
230;0:02:36.160172;11463.183030998507;0.7709999999999998
231;0:02:11.434182;10847.993609218272;0.7699999999999998
232;0:02:16.520736;10564.249274556974;0.7689999999999998
233;0:02:37.371428;10249.00930881538;0.7679999999999998
234;0:02:13.144256;11592.24495423336;0.7669999999999998
235;0:02:26.018905;11108.795708502017;0.7659999999999998
236;0:02:26.391817;10680.400522736265;0.7649999999999998
237;0:02:33.796920;11572.870134264323;0.7639999999999998
238;0:02:38.016121;11008.824063448657;0.7629999999999998
239;0:01:45.051960;11852.454573022813;0.7619999999999998
240;0:02:26.977434;10887.675091776196;0.7609999999999998
241;0:01:49.371839;11956.186610252227;0.7599999999999998
242;0:02:12.733250;10838.85531829317;0.7589999999999998
243;0:02:05.402938;10472.650015124216;0.7579999999999998
244;0:02:10.149894;11136.547016827682;0.7569999999999998
245;0:02:02.215806;11115.978890917675;0.7559999999999998
246;0:02:10.459807;10505.047132678272;0.7549999999999998
