Episode;Duration;Value;Epsilon
1;0:02:14.565551;9587.381007378111;1.0
2;0:02:20.003045;8992.11096308662;0.999
3;0:03:00.704935;8595.665801737294;0.998
4;0:02:38.308228;8921.500631586789;0.997
5;0:02:13.807688;9168.925487022689;0.996
6;0:02:13.882717;9488.550227714657;0.995
7;0:02:35.529485;9718.64215092324;0.994
8;0:02:02.999910;9427.703499916324;0.993
9;0:02:39.312233;9408.6563479487;0.992
10;0:02:07.670283;9544.256657754253;0.991
11;0:02:23.592355;9366.347900424988;0.99
12;0:02:37.807070;9408.029513542062;0.989
13;0:02:34.271530;8486.947472250145;0.988
14;0:02:29.759034;9605.750827701662;0.987
15;0:02:13.449482;8614.777954475536;0.986
16;0:02:31.610446;8669.296684112558;0.985
17;0:02:14.895227;9687.219698177685;0.984
18;0:02:37.263361;9495.003798159332;0.983
19;0:02:46.982153;9452.503282242711;0.982
20;0:02:44.666390;9646.669819183164;0.981
21;0:02:45.865433;9546.343673876532;0.98
22;0:01:59.618352;9621.598237271119;0.979
23;0:02:42.839368;10230.733676388376;0.978
24;0:02:40.655570;9138.817853564775;0.977
25;0:02:14.798838;9872.727716485946;0.976
26;0:02:31.387944;9042.930738763522;0.975
27;0:02:28.781548;9272.791156621179;0.974
28;0:02:11.670554;9668.731015727353;0.973
29;0:02:53.682110;9213.036188674634;0.972
30;0:01:58.795348;9335.448313457347;0.971
31;0:02:53.799591;9114.521546179405;0.97
32;0:02:10.291368;8668.77654634104;0.969
33;0:02:09.885905;10009.090100934487;0.968
34;0:02:20.799304;9714.331123628383;0.967
35;0:02:05.602358;9151.396879979024;0.966
36;0:02:34.234455;9363.090493337615;0.965
37;0:02:13.589804;9589.01061144329;0.964
38;0:02:23.589024;9523.777803580351;0.963
39;0:02:22.212669;9628.780855091312;0.962
40;0:02:38.251265;9203.632859970869;0.961
41;0:02:34.912964;9212.821234251822;0.96
42;0:01:51.785747;9411.8589884704;0.959
43;0:02:34.817574;9493.026266727626;0.958
44;0:02:26.849878;9980.106913720021;0.957
45;0:02:20.656455;9189.031667492805;0.956
46;0:01:59.630108;9574.787461867616;0.955
47;0:02:28.448426;9506.889197860208;0.954
48;0:02:51.950719;9940.002607364755;0.953
49;0:02:46.061165;9458.368262424574;0.952
50;0:02:35.960236;9371.466856480705;0.951
51;0:02:36.107174;8843.658704675849;0.95
52;0:02:10.467169;8945.820491156739;0.949
53;0:02:26.357650;10026.461661009405;0.948
54;0:02:17.487570;9579.203444753357;0.947
55;0:02:27.877525;9292.677710843722;0.946
56;0:02:31.237709;9204.909631836816;0.945
57;0:02:51.424378;9416.608715804336;0.944
58;0:02:10.147300;9524.307191320651;0.943
59;0:02:08.829687;9708.36001921747;0.942
60;0:02:47.438581;9667.839595189971;0.941
61;0:02:21.813450;9639.525003988694;0.94
62;0:01:59.440305;8850.986688772076;0.939
63;0:02:20.417618;10075.005038436308;0.938
64;0:02:07.173872;9203.730838419604;0.9369999999999999
65;0:02:47.189181;9157.728067848215;0.9359999999999999
66;0:02:16.490794;10152.386732493496;0.9349999999999999
67;0:02:46.003688;9933.611736533068;0.9339999999999999
68;0:01:46.249342;9669.431856874415;0.9329999999999999
69;0:02:46.721472;8877.031832329625;0.9319999999999999
70;0:02:49.612051;9527.162739066876;0.9309999999999999
71;0:02:21.726494;9739.986315652292;0.9299999999999999
72;0:02:15.820470;9585.525273854459;0.9289999999999999
73;0:02:24.358100;10077.411048586911;0.9279999999999999
74;0:02:09.748968;10105.78761613239;0.9269999999999999
75;0:02:08.842223;9940.577152165086;0.9259999999999999
76;0:02:12.684530;9079.240535146155;0.9249999999999999
77;0:02:39.862257;9254.533993623802;0.9239999999999999
