Episode;Duration;Value;Epsilon
1;0:02:17.370188;9631.824366471512;1.0
2;0:01:57.055280;9520.520846369078;0.999
3;0:02:58.458087;9690.018885923968;0.998
4;0:02:24.468328;9523.536074053472;0.997
5;0:02:09.513341;10309.67102038028;0.996
6;0:02:20.938374;9825.113180550574;0.995
7;0:02:24.764861;10867.99473463321;0.994
8;0:02:13.040307;10410.932031449101;0.993
9;0:02:08.279278;9613.030073932136;0.992
10;0:02:19.560151;9186.58588640683;0.991
11;0:02:22.910995;10129.325883773698;0.99
12;0:02:07.310689;10266.57034584521;0.989
13;0:02:22.133344;10201.221602300911;0.988
14;0:02:17.070136;10561.17644048983;0.987
15;0:02:16.786305;10305.67601576399;0.986
16;0:01:41.931756;10033.688841448202;0.985
17;0:02:55.679813;9409.94510818329;0.984
18;0:02:32.101106;9695.241285304723;0.983
19;0:02:21.880714;9984.368556307989;0.982
20;0:02:15.629793;9455.286583234121;0.981
21;0:02:47.468962;9678.608407415277;0.98
22;0:02:17.012358;10348.952037922003;0.979
23;0:02:24.432204;10031.191990211091;0.978
24;0:01:51.325892;10192.46557245015;0.977
25;0:02:28.623154;10851.141834261169;0.976
26;0:02:14.382070;9739.714024429559;0.975
27;0:02:22.889445;9784.55590516104;0.974
28;0:02:14.247347;10786.650160948855;0.973
29;0:02:26.886231;10381.941291645811;0.972
30;0:02:22.773003;9623.08272491024;0.971
31;0:02:24.450872;10358.424743839183;0.97
32;0:02:30.632448;10498.835119338879;0.969
33;0:02:19.699982;9199.003340694206;0.968
34;0:01:50.783318;10323.560900596221;0.967
35;0:02:08.530438;10844.825834578718;0.966
36;0:02:10.597268;10695.556119440605;0.965
37;0:02:35.461438;9578.190127176502;0.964
38;0:01:58.798015;10063.88930140849;0.963
39;0:02:16.920651;10513.153693583636;0.962
40;0:02:15.710261;9855.771623954879;0.961
41;0:02:49.392679;10268.63056819906;0.96
42;0:02:06.050270;9608.881951865664;0.959
43;0:01:57.589935;9921.55148593695;0.958
44;0:02:11.539594;10152.672018779793;0.957
45;0:02:08.449150;9734.508131308155;0.956
46;0:02:07.050031;10006.440934828126;0.955
47;0:02:33.186221;9778.133548109794;0.954
48;0:01:42.540138;10507.234544404384;0.953
49;0:01:54.019997;10641.052606007092;0.952
50;0:02:06.426014;10031.533729095167;0.951
51;0:02:29.909244;10158.123730713041;0.95
52;0:02:08.701167;10218.768075293525;0.949
53;0:02:21.290481;10152.372871868558;0.948
54;0:01:50.837663;10335.184721577243;0.947
55;0:01:47.703573;11178.42513514103;0.946
56;0:02:02.028802;9976.581761018379;0.945
57;0:02:21.417585;10092.349254611912;0.944
58;0:02:21.064115;10627.641217677234;0.943
59;0:02:24.933946;9968.788966662609;0.942
60;0:02:09.725464;10055.197564004258;0.941
61;0:02:34.798433;10691.94494738819;0.94
62;0:02:24.454519;9739.517550920586;0.939
63;0:02:02.970239;10186.870759273586;0.938
64;0:01:29.210143;9800.386199411745;0.9369999999999999
65;0:01:58.330494;9296.686540428687;0.9359999999999999
66;0:01:55.293729;10416.27045700328;0.9349999999999999
67;0:02:42.239985;10658.146567709391;0.9339999999999999
68;0:01:42.682174;10419.978448035828;0.9329999999999999
69;0:02:12.374368;10114.050656126252;0.9319999999999999
70;0:01:44.871020;10416.603754777332;0.9309999999999999
71;0:01:53.848386;10363.471872322312;0.9299999999999999
72;0:02:07.896304;10268.17088892467;0.9289999999999999
73;0:01:54.036985;10659.363721183956;0.9279999999999999
74;0:02:17.979083;9966.255210688783;0.9269999999999999
75;0:02:21.722812;10697.779211538618;0.9259999999999999
76;0:02:56.354139;9813.66709506607;0.9249999999999999
77;0:02:18.030371;10012.943575064688;0.9239999999999999
78;0:01:52.299916;10982.351488512337;0.9229999999999999
79;0:02:12.790226;10001.098459854547;0.9219999999999999
80;0:02:14.112605;10544.743798081952;0.9209999999999999
81;0:01:48.515876;10652.922843273342;0.9199999999999999
82;0:02:07.224577;10180.484838412802;0.9189999999999999
83;0:02:07.239068;10898.060006126994;0.9179999999999999
84;0:02:19.772313;9602.284234531398;0.9169999999999999
85;0:02:05.144271;10251.16272561732;0.9159999999999999
86;0:01:49.137814;10239.039654693584;0.9149999999999999
87;0:02:00.284398;10414.985567527;0.9139999999999999
88;0:02:30.267918;10546.143750544576;0.9129999999999999
89;0:02:16.293019;11417.522672806595;0.9119999999999999
90;0:01:23.561866;10767.702250195884;0.9109999999999999
91;0:02:16.675373;9959.52399656855;0.9099999999999999
92;0:02:09.336460;10528.906954469447;0.9089999999999999
93;0:01:56.736433;9920.722013825349;0.9079999999999999
94;0:02:04.621879;9883.941293496764;0.9069999999999999
95;0:02:04.579399;9918.798746871238;0.9059999999999999
96;0:02:20.003778;10385.69038921063;0.9049999999999999
97;0:02:36.266911;10189.465450420696;0.9039999999999999
98;0:02:28.195107;10046.04390300688;0.9029999999999999
99;0:02:10.134886;9762.134114706636;0.9019999999999999
100;0:01:42.550043;10201.614897212561;0.9009999999999999
101;0:01:48.513149;10973.551320144095;0.8999999999999999
102;0:01:53.206918;10482.419571837085;0.8989999999999999
103;0:02:24.484572;10770.510247446324;0.8979999999999999
104;0:02:00.254456;10094.346382624028;0.8969999999999999
105;0:01:45.085822;11029.512045171909;0.8959999999999999
106;0:01:31.359166;10286.800998485747;0.8949999999999999
107;0:02:03.628485;10610.573372245322;0.8939999999999999
108;0:02:39.644390;10089.912954788377;0.8929999999999999
109;0:02:01.441558;10049.82316505601;0.8919999999999999
110;0:02:52.118929;10179.64753238398;0.8909999999999999
111;0:01:51.098540;11163.808369742443;0.8899999999999999
112;0:01:36.776458;10707.760413896416;0.8889999999999999
113;0:02:19.823746;10488.740900473747;0.8879999999999999
114;0:01:48.277465;10462.149902035473;0.8869999999999999
115;0:02:55.563605;10812.550964634554;0.8859999999999999
116;0:01:19.440463;10408.024031863499;0.8849999999999999
117;0:02:00.459018;9825.718767157316;0.8839999999999999
118;0:02:35.896456;10490.957150629536;0.8829999999999999
119;0:01:46.960402;10994.049918547806;0.8819999999999999
120;0:02:18.073121;10334.226480569416;0.8809999999999999
121;0:02:26.615887;11029.256631368107;0.8799999999999999
122;0:02:29.843427;11207.672103372479;0.8789999999999999
123;0:01:54.424876;10589.13884840063;0.8779999999999999
124;0:02:17.349607;10946.418489255548;0.8769999999999999
125;0:01:54.586625;11383.643974402486;0.8759999999999999
126;0:02:11.049829;10632.716314036754;0.8749999999999999
127;0:01:42.025068;10599.500092406019;0.8739999999999999
128;0:01:55.107379;10856.151537546144;0.8729999999999999
129;0:01:58.348865;10995.851461524282;0.8719999999999999
130;0:01:46.117082;11119.738460014922;0.8709999999999999
131;0:02:21.954409;10574.732263103067;0.8699999999999999
132;0:02:51.984905;10756.443914016798;0.8689999999999999
133;0:02:12.777234;10736.463231253141;0.8679999999999999
134;0:02:18.931617;10633.429746847913;0.8669999999999999
135;0:02:02.393171;11809.90922384008;0.8659999999999999
136;0:02:02.272259;10672.066642802743;0.8649999999999999
137;0:01:50.667821;11387.105459664768;0.8639999999999999
138;0:02:03.193158;10320.650205245825;0.8629999999999999
