Episode;Duration;Value;Epsilon
1;0:02:16.518132;9920.270425216553;1.0
2;0:02:31.493387;9559.93667779593;0.999
3;0:02:33.475306;10427.771076304189;0.998
4;0:02:10.155692;10764.977581551888;0.997
5;0:02:32.258222;9579.741110210116;0.996
6;0:02:30.618091;9346.169999323216;0.995
7;0:02:12.172745;9786.328524812378;0.994
8;0:02:47.342514;10061.461323415218;0.993
9;0:02:25.724037;9824.786361960656;0.992
10;0:02:29.061004;11307.681385510707;0.991
11;0:02:19.371683;10024.336887610605;0.99
12;0:01:57.535817;9420.519506393275;0.989
13;0:02:30.397997;10254.515027948506;0.988
14;0:02:15.485281;10577.94751810269;0.987
15;0:02:24.451667;9526.373006155172;0.986
16;0:02:31.074830;9793.17036371379;0.985
17;0:02:08.487952;9434.386757114733;0.984
18;0:02:38.914939;10025.312756887975;0.983
19;0:02:38.825842;10086.691296828934;0.982
20;0:02:14.045792;10449.617098041623;0.981
21;0:02:23.584719;10603.081176738136;0.98
22;0:01:45.494053;9570.551469223514;0.979
23;0:03:02.311467;9216.782676609364;0.978
24;0:02:12.363966;10037.394372114448;0.977
25;0:02:00.041808;9474.111407738856;0.976
26;0:02:29.001986;10665.465956551112;0.975
27;0:02:20.642549;9769.999804064506;0.974
28;0:02:24.637283;9745.890712470184;0.973
29;0:02:01.912835;10267.344437403357;0.972
30;0:02:31.665454;10299.496935489822;0.971
31;0:02:12.041080;10214.075473162979;0.97
32;0:02:38.911915;9106.300359050325;0.969
33;0:02:23.630773;10354.518865737733;0.968
34;0:01:50.893943;9571.419767889085;0.967
35;0:02:14.252197;9779.189160166343;0.966
36;0:02:26.496397;9847.375520254038;0.965
37;0:02:02.791811;9514.639190793256;0.964
38;0:02:34.390781;10388.75763317422;0.963
39;0:02:01.060880;9955.467575423185;0.962
40;0:02:35.126671;9949.866038890801;0.961
41;0:02:45.766031;10554.766775706965;0.96
42;0:02:05.096117;9787.521017026449;0.959
43;0:02:13.472570;9729.896516486036;0.958
44;0:02:34.703646;9685.018259007275;0.957
45;0:02:34.313591;10514.138848056824;0.956
46;0:01:48.647997;9644.47124820208;0.955
47;0:02:34.073977;10307.372353268196;0.954
48;0:02:24.690931;10661.545935201082;0.953
49;0:01:37.128351;9711.559283583785;0.952
50;0:02:21.674921;11156.949697372906;0.951
51;0:01:57.735576;10260.754151918894;0.95
52;0:02:31.142939;9886.141299362274;0.949
53;0:02:40.716561;11076.980244835195;0.948
54;0:02:30.867725;10497.8154358604;0.947
55;0:02:20.569698;9470.631891381152;0.946
56;0:02:30.735672;10371.977035291635;0.945
57;0:02:04.735122;9723.056979216573;0.944
58;0:02:12.587024;9156.7642703611;0.943
59;0:01:56.753812;10367.85503565556;0.942
60;0:02:35.988899;10202.146900018995;0.941
61;0:01:59.705628;9998.29645835067;0.94
62;0:02:09.312891;11021.339567588266;0.939
63;0:02:12.842969;9917.521835364727;0.938
64;0:02:08.711284;10152.479281519589;0.9369999999999999
65;0:02:16.657266;10303.18470422621;0.9359999999999999
66;0:02:36.970469;9193.390602896628;0.9349999999999999
67;0:01:58.892583;9161.655228327498;0.9339999999999999
68;0:02:04.022298;10160.569043359437;0.9329999999999999
69;0:01:55.839496;10001.746916697743;0.9319999999999999
70;0:02:11.110250;10020.517073710134;0.9309999999999999
71;0:02:20.599360;9848.125717811978;0.9299999999999999
72;0:02:12.394734;10735.508670746513;0.9289999999999999
73;0:02:16.200294;10330.785377686138;0.9279999999999999
74;0:02:08.621719;10595.095211200713;0.9269999999999999
75;0:02:07.498339;10824.808878431411;0.9259999999999999
76;0:02:14.923496;9411.72092192619;0.9249999999999999
77;0:02:07.379426;10374.953404614194;0.9239999999999999
78;0:02:18.758765;9963.204396852048;0.9229999999999999
79;0:03:00.099402;10394.348445448748;0.9219999999999999
80;0:02:28.737746;10521.900548440051;0.9209999999999999
81;0:02:03.317781;9519.90352814408;0.9199999999999999
82;0:02:24.315706;10483.905114961295;0.9189999999999999
83;0:02:14.909563;10041.095566009482;0.9179999999999999
84;0:02:15.382018;10430.357455118163;0.9169999999999999
85;0:01:49.420284;9982.880265377025;0.9159999999999999
86;0:02:30.072479;10129.559865410884;0.9149999999999999
87;0:02:17.202599;10390.254278675991;0.9139999999999999
88;0:01:55.524039;10414.855426123273;0.9129999999999999
89;0:01:57.743108;10025.164276345771;0.9119999999999999
90;0:01:59.157517;10236.833232400744;0.9109999999999999
91;0:02:04.162382;10467.427414259191;0.9099999999999999
92;0:01:55.193441;10004.266192853795;0.9089999999999999
93;0:02:20.205654;9591.70670590601;0.9079999999999999
94;0:01:42.776089;9939.501393202454;0.9069999999999999
95;0:02:19.062643;10232.832081379265;0.9059999999999999
96;0:02:11.655832;10704.576689143916;0.9049999999999999
97;0:02:23.987534;10506.13560065893;0.9039999999999999
98;0:01:57.973609;10326.839646133463;0.9029999999999999
99;0:02:00.756072;10913.842019741936;0.9019999999999999
100;0:02:07.668324;10190.050152869995;0.9009999999999999
101;0:01:46.801815;10169.52079080883;0.8999999999999999
102;0:02:12.141908;10393.26915903547;0.8989999999999999
103;0:02:14.470489;10883.086320393115;0.8979999999999999
104;0:01:47.868029;9939.984984415512;0.8969999999999999
105;0:02:24.924219;9676.681758360677;0.8959999999999999
106;0:01:58.882420;9663.44809018992;0.8949999999999999
107;0:01:51.841374;10034.820520727611;0.8939999999999999
108;0:02:24.988934;10222.062917331205;0.8929999999999999
109;0:02:09.457114;10097.582059295264;0.8919999999999999
110;0:02:12.830553;10371.762196434109;0.8909999999999999
111;0:02:31.668218;9611.034656202073;0.8899999999999999
112;0:02:09.799515;10578.482108677164;0.8889999999999999
113;0:01:54.941884;10238.18344770737;0.8879999999999999
114;0:01:52.960277;10831.078912213277;0.8869999999999999
115;0:01:50.792900;11014.948172481541;0.8859999999999999
116;0:02:15.125320;10378.593136105615;0.8849999999999999
117;0:02:08.896330;10359.922829586782;0.8839999999999999
118;0:02:08.010998;10577.952843535739;0.8829999999999999
119;0:01:54.510006;10541.655894257396;0.8819999999999999
120;0:02:13.454605;10672.141763849291;0.8809999999999999
121;0:02:03.974576;11246.623020822773;0.8799999999999999
122;0:02:12.655025;10183.915063409375;0.8789999999999999
123;0:01:57.662594;11077.116719719717;0.8779999999999999
124;0:02:44.981831;10740.496379744893;0.8769999999999999
125;0:02:01.820289;11232.676285379937;0.8759999999999999
